loan_id,update_month,reported_balance,reported_status,reported_interest_rate,update_source,update_timestamp
LN102956,2022-07,280147.41,CURRENT,3.516,SERVICER_PORTAL,2022-04-09
LN102006,2024-11,451196.8,CURRENT,5.363,SERVICER_PORTAL,2024-08-18
LN108292,2022-03,474699.43,CURRENT,4.199,SERVICER_PORTAL,2021-11-21
LN101476,2024-06,577959.43,CURRENT,5.773,SERVICER_PORTAL,2024-05-23
LN102213,2022-07,335783.48,CURRENT,4.204,MONTHLY_TAPE,2022-07-18
LN100227,2024-11,285892.65,CURRENT,6.856,SERVICER_PORTAL,2024-07-02
LN100152,2024-10,387519.02,CURRENT,7.497,SERVICER_PORTAL,2024-10-24
LN105812,2023-12,337128.04,CURRENT,4.997,MANUAL_ENTRY,2023-08-18
LN106009,2022-01,266092.09,CURRENT,3.964,SERVICER_PORTAL,2021-10-09
LN104747,2024-07,143490.38,DPD30,3.929,SERVICER_PORTAL,2024-05-15
LN102776,2023-07,337191.42,CURRENT,6.125,MONTHLY_TAPE,2023-06-21
LN103600,2023-07,222641.66,CURRENT,6.207,MONTHLY_TAPE,2023-05-24
LN104643,2024-03,280044.34,CURRENT,3.765,MONTHLY_TAPE,2024-03-20
LN100402,2022-11,154593.85,CURRENT,5.328,MONTHLY_TAPE,2022-07-04
LN108653,2023-03,234311.11,DPD30,3.919,SERVICER_PORTAL,2022-11-27
LN101187,2023-12,323685.48,CURRENT,7.009,SERVICER_PORTAL,2023-12-05
LN102082,2022-12,122830.1,CURRENT,4.873,SERVICER_PORTAL,2022-10-20
LN100128,2023-08,371655.59,CURRENT,6.954,SERVICER_PORTAL,2023-07-12
LN105536,2021-12,549134.66,CURRENT,3.745,SERVICER_PORTAL,2021-10-27
LN103453,2025-05,196859.47,CURRENT,6.253,SERVICER_PORTAL,2025-01-02
LN108484,2023-12,293147.06,CURRENT,4.0,SERVICER_PORTAL,2023-10-23
LN106449,2024-04,252311.69,CURRENT,4.598,MONTHLY_TAPE,2024-01-20
LN106084,2024-02,327002.75,CURRENT,6.81,MONTHLY_TAPE,2024-01-15
LN108223,2025-11,233618.58,CURRENT,5.779,MONTHLY_TAPE,2025-10-07
LN104921,2025-11,227300.68,DPD30,7.951,SERVICER_PORTAL,2025-11-14
LN100453,2021-08,168004.5,CURRENT,3.767,SERVICER_PORTAL,2021-08-18
LN106645,2025-01,191395.27,CURRENT,5.599,MANUAL_ENTRY,2025-01-11
LN106307,2022-03,466996.96,CURRENT,4.414,SERVICER_PORTAL,2022-03-12
LN104931,2025-04,265488.86,CURRENT,7.329,MONTHLY_TAPE,2025-02-22
LN107611,2025-04,58478794.07,CURRENT,4.284,SERVICER_PORTAL,2025-04-26
LN100088,2024-12,288801.58,CURRENT,6.634,MONTHLY_TAPE,2024-12-05
LN105119,2022-04,388825.92,CURRENT,4.415,SERVICER_PORTAL,2022-02-24
LN104302,2022-11,343133.24,CURRENT,4.51,MONTHLY_TAPE,2022-07-25
LN102409,2021-10,302664.83,DPD60,3.887,SERVICER_PORTAL,2021-06-18
LN101886,2024-08,405349.18,CURRENT,6.473,MONTHLY_TAPE,2024-04-10
LN103819,2025-04,209533.06,CURRENT,6.641,MONTHLY_TAPE,2025-01-19
LN101203,2024-07,288914.48,CURRENT,6.128,MONTHLY_TAPE,2024-06-27
LN101905,2024-03,294139.32,CURRENT,4.286,SERVICER_PORTAL,2023-12-22
LN108657,2025-06,326233.47,CURRENT,6.418,MONTHLY_TAPE,2025-04-08
LN103892,2024-03,246166.88,CURRENT,6.64,MONTHLY_TAPE,2024-02-21
LN101488,2025-04,356396.45,DPD60,4.109,SERVICER_PORTAL,2024-12-05
LN101857,2024-02,894424.48,CURRENT,6.109,SERVICER_PORTAL,2024-02-02
LN104079,2025-11,398047.8,CURRENT,6.84,MONTHLY_TAPE,2025-08-09
LN101214,2022-11,327968.51,CURRENT,4.569,SERVICER_PORTAL,2022-09-16
LN108344,2022-12,204978.15,CURRENT,4.954,MANUAL_ENTRY,2022-10-13
LN108631,2024-01,149212.09,DPD60,6.043,MONTHLY_TAPE,2023-09-06
LN101759,2023-12,78284.74,CURRENT,7.01,MONTHLY_TAPE,2023-09-09
LN102467,2025-04,366284.07,DPD90,6.976,SERVICER_PORTAL,2024-12-21
LN101806,2022-04,460085.17,CURRENT,3.739,MONTHLY_TAPE,2022-03-02
LN107586,2025-02,174470.15,CURRENT,6.848,MANUAL_ENTRY,2024-12-25
LN100071,2024-03,146608.42,CURRENT,3.973,MANUAL_ENTRY,2024-01-09
LN106582,2025-08,170335.32,CURRENT,7.027,MANUAL_ENTRY,2025-04-23
LN103841,2024-07,643578.98,CURRENT,5.924,MANUAL_ENTRY,2024-06-07
LN106048,2024-04,146806.26,CURRENT,4.16,SERVICER_PORTAL,2024-03-15
LN105849,2021-11,265628.51,CURRENT,3.146,SERVICER_PORTAL,2021-09-10
LN102979,2025-02,269557.01,DPD30,5.485,SERVICER_PORTAL,2025-02-11
LN102797,2023-11,460455.4,DPD60,7.531,MONTHLY_TAPE,2023-07-03
LN108790,2025-01,174525.14,CURRENT,5.91,SERVICER_PORTAL,2025-01-05
LN106081,2023-05,176072.51,CURRENT,5.297,MONTHLY_TAPE,2023-04-18
LN104653,2024-06,152858.62,CURRENT,3.915,MONTHLY_TAPE,2024-04-19
LN103114,2025-08,80136.75,DPD60,4.974,MONTHLY_TAPE,2025-07-05
LN101873,2024-12,276061.62,CURRENT,6.052,SERVICER_PORTAL,2024-12-23
LN107853,2025-03,501579.91,CURRENT,5.813,MONTHLY_TAPE,2024-12-24
LN101491,2024-08,159762.13,CURRENT,5.855,SERVICER_PORTAL,2024-05-13
LN106147,2024-11,110161.79,DPD30,6.353,MONTHLY_TAPE,2024-10-17
LN102025,2023-06,194633.01,CURRENT,5.402,SERVICER_PORTAL,2023-02-12
LN104267,2025-06,403475.23,CURRENT,6.114,MONTHLY_TAPE,2025-03-20
LN102764,2025-09,164188.1,CURRENT,4.605,SERVICER_PORTAL,2025-05-15
LN105439,2025-10,103193.92,CURRENT,5.846,SERVICER_PORTAL,2025-07-16
LN105357,2024-12,142857.25,CURRENT,6.798,MANUAL_ENTRY,2024-08-17
LN100182,2024-07,269752.45,CURRENT,5.964,SERVICER_PORTAL,2024-07-22
LN106198,2022-09,359956.54,CURRENT,3.601,MONTHLY_TAPE,2022-05-03
LN106536,2022-09,188077.3,CURRENT,5.299,MONTHLY_TAPE,2022-08-05
LN102223,2025-10,129158.19,DPD30,5.837,MANUAL_ENTRY,2025-08-09
LN100241,2024-04,140220.02,CURRENT,6.926,SERVICER_PORTAL,2023-12-25
LN104014,2023-08,316210.32,CURRENT,5.052,SERVICER_PORTAL,2023-04-21
LN103876,2023-12,183151.62,CURRENT,6.569,SERVICER_PORTAL,2023-11-11
LN104867,2024-11,104382.7,CURRENT,4.376,SERVICER_PORTAL,2024-09-24
LN102030,2024-08,321141.52,DPD60,6.035,SERVICER_PORTAL,2024-06-20
LN105589,2024-08,139702.6,CURRENT,6.95,MONTHLY_TAPE,2024-05-13
LN106625,2024-12,299877.89,CURRENT,6.452,SERVICER_PORTAL,2024-10-24
LN100693,2024-11,322701.16,CURRENT,6.665,SERVICER_PORTAL,2024-08-13
LN108062,2023-11,222792.89,CURRENT,4.164,MONTHLY_TAPE,2023-10-26
LN102277,2022-03,196141.52,DPD30,3.929,MONTHLY_TAPE,2022-01-13
LN107156,2024-06,203961.85,CURRENT,6.697,MANUAL_ENTRY,2024-04-22
LN100620,2024-11,101544.25,CURRENT,5.282,SERVICER_PORTAL,2024-11-12
LN102521,2023-10,132351.67,DPD60,3.47,SERVICER_PORTAL,2023-09-11
LN100242,2024-10,423091.4,CURRENT,4.06,SERVICER_PORTAL,2024-08-15
LN107840,2023-08,108561.34,CURRENT,5.972,SERVICER_PORTAL,2023-08-04
LN106239,2023-06,93362.27,DPD30,4.801,MONTHLY_TAPE,2023-03-17
LN104115,2025-08,147250.36,CURRENT,5.721,MANUAL_ENTRY,2025-04-03
LN106241,2024-09,299350.0,CURRENT,4.639,MANUAL_ENTRY,2024-05-11
LN106377,2023-07,86423.88,CURRENT,4.583,MONTHLY_TAPE,2023-05-17
LN103466,2024-08,123160.0,CURRENT,6.317,SERVICER_PORTAL,2024-06-03
LN103621,2025-12,123846.5,DPD30,4.612,MONTHLY_TAPE,2025-09-26
LN107699,2022-10,287368.97,CURRENT,4.564,MONTHLY_TAPE,2022-08-26
LN108488,2025-08,102026.71,CURRENT,5.921,MANUAL_ENTRY,2025-07-14
LN101584,2024-05,293282.39,CURRENT,6.69,SERVICER_PORTAL,2024-04-04
LN105786,2024-08,289299.09,CURRENT,5.942,MANUAL_ENTRY,2024-06-12
LN104349,2024-01,248903.88,CURRENT,4.823,MANUAL_ENTRY,2023-12-16
LN103120,2024-01,248902.28,CURRENT,6.309,MONTHLY_TAPE,2024-01-23
LN106578,2025-11,180205.7,CURRENT,4.755,MONTHLY_TAPE,2025-07-17
LN105212,2025-08,512525.89,CURRENT,5.527,SERVICER_PORTAL,2025-07-11
LN101964,2025-06,200383.09,CURRENT,6.548,SERVICER_PORTAL,2025-04-10
LN102427,2023-05,130437.68,CURRENT,5.327,MANUAL_ENTRY,2023-05-08
LN108119,2024-04,412544.81,CURRENT,6.101,SERVICER_PORTAL,2024-03-05
LN101381,2024-10,140213.76,CURRENT,5.173,MONTHLY_TAPE,2024-07-07
LN102890,2023-01,263303.02,CURRENT,4.152,MONTHLY_TAPE,2022-10-06
LN104978,2025-09,224944.87,CURRENT,7.066,MONTHLY_TAPE,2025-06-25
LN105470,2025-03,233548.26,CURRENT,6.033,MONTHLY_TAPE,2024-12-21
LN104658,2024-06,128245.61,DPD30,6.148,MONTHLY_TAPE,2024-04-27
LN106869,2022-07,567376.42,CURRENT,4.014,SERVICER_PORTAL,2022-03-05
LN103638,2022-04,241331.5,CURRENT,3.758,MONTHLY_TAPE,2022-03-09
LN106509,2021-11,199672.25,CURRENT,3.564,MONTHLY_TAPE,2021-11-02
LN105984,2024-04,169157.4,CURRENT,4.381,MANUAL_ENTRY,2024-02-09
LN101575,2025-05,133087.96,CURRENT,5.282,MANUAL_ENTRY,2025-04-15
LN100283,2023-05,256019.6,DPD30,5.428,MONTHLY_TAPE,2023-01-24
LN100044,2022-10,451091.9,CURRENT,4.281,SERVICER_PORTAL,2022-06-07
LN105788,2024-08,282381.24,CURRENT,6.2,MONTHLY_TAPE,2024-05-24
LN104757,2022-03,543479.17,CURRENT,4.252,MONTHLY_TAPE,2022-01-12
LN104726,2025-02,101083.32,CURRENT,4.138,SERVICER_PORTAL,2025-02-11
