loan_id,origination_month,original_balance,interest_rate,original_term_months,credit_score_band,ltv_band,dti_band,state,loan_purpose,occupancy_type,property_type,servicer_name,vintage
LN100016,2023-04,120600.0,6.355,180,680-739,75-85,20-35,PA,CASHOUT_REFI,OWNER,SFR,BetaLoan,2023
LN100017,2021-12,181100.0,4.285,360,680-739,>95,20-35,TX,CASHOUT_REFI,OWNER,SFR,AlphaServ,2021
LN100018,2024-06,332500.0,6.143,240,740-779,<=60,<=20,AZ,CASHOUT_REFI,INVESTOR,SFR,CasaMortgage,2024
LN100019,2023-01,165600.0,5.948,360,620-679,75-85,35-43,AZ,REFINANCE,OWNER,SFR,BetaLoan,2023
LN100020,2023-04,127200.0,6.389,360,620-679,<=60,35-43,OH,PURCHASE,OWNER,SFR,DeltaHome,2023
LN100021,2022-10,169600.0,5.401,360,680-739,75-85,35-43,GA,PURCHASE,OWNER,SFR,AlphaServ,2022
LN100022,2022-02,214700.0,4.243,360,740-779,75-85,20-35,GA,REFINANCE,OWNER,SFR,AlphaServ,2022
LN100023,2024-09,218500.0,6.395,180,740-779,75-85,35-43,OH,PURCHASE,OWNER,SFR,BetaLoan,2024
LN100024,2024-03,240900.0,6.46,180,740-779,>95,20-35,TX,REFINANCE,SECOND_HOME,CONDO,DeltaHome,2024
LN100025,2023-10,406200.0,6.597,360,680-739,85-95,35-43,GA,PURCHASE,OWNER,SFR,BetaLoan,2023
LN100026,2022-11,447800.0,5.448,360,740-779,60-75,<=20,FL,PURCHASE,OWNER,SFR,BetaLoan,2022
LN100027,2024-05,629400.0,6.241,360,740-779,>95,35-43,OH,REFINANCE,OWNER,CONDO,CasaMortgage,2024
LN100028,2023-05,122900.0,6.592,360,620-679,60-75,20-35,AZ,REFINANCE,OWNER,SFR,BetaLoan,2023
LN100029,2023-01,173700.0,5.72,360,680-739,85-95,20-35,CA,PURCHASE,INVESTOR,SFR,CasaMortgage,2023
LN100030,2023-01,349500.0,5.385,360,740-779,85-95,<=20,WA,PURCHASE,OWNER,SFR,DeltaHome,2023
LN100031,2022-04,208100.0,4.898,360,680-739,85-95,20-35,OH,CASHOUT_REFI,OWNER,SFR,EagleTrust,2022
LN100032,2021-10,376000.0,3.844,360,740-779,75-85,<=20,WA,REFINANCE,OWNER,CONDO,AlphaServ,2021
LN100033,2023-06,280200.0,6.093,360,680-739,85-95,35-43,TX,PURCHASE,OWNER,SFR,CasaMortgage,2023
LN100034,2024-08,519500.0,6.427,360,680-739,75-85,20-35,CA,REFINANCE,OWNER,SFR,CasaMortgage,2024
LN100035,2021-09,408100.0,4.909,360,620-679,75-85,>43,GA,PURCHASE,OWNER,SFR,AlphaServ,2021
LN100036,2024-07,411500.0,6.638,360,680-739,>95,20-35,IL,PURCHASE,INVESTOR,SFR,EagleTrust,2024
LN100037,2024-05,212100.0,6.386,360,740-779,60-75,35-43,NC,PURCHASE,OWNER,SFR,DeltaHome,2024
LN100038,2022-06,244300.0,5.194,360,620-679,60-75,35-43,GA,PURCHASE,OWNER,CONDO,AlphaServ,2022
LN100039,2023-09,222500.0,6.058,360,680-739,75-85,35-43,IL,PURCHASE,OWNER,SFR,EagleTrust,2023
LN100040,2022-01,129600.0,5.04,360,<620,60-75,20-35,AZ,PURCHASE,SECOND_HOME,SFR,AlphaServ,2022
LN100041,2024-02,495000.0,7.368,360,<620,85-95,20-35,FL,REFINANCE,INVESTOR,TOWNHOUSE,AlphaServ,2024
LN100042,2023-12,357000.0,5.939,360,780+,60-75,<=20,TX,PURCHASE,OWNER,CONDO,AlphaServ,2023
LN100043,2022-09,218500.0,5.296,360,680-739,75-85,35-43,PA,REFINANCE,INVESTOR,SFR,AlphaServ,2022
LN100044,2021-09,459100.0,4.281,360,680-739,85-95,20-35,FL,PURCHASE,OWNER,SFR,AlphaServ,2021
LN100045,2024-11,192200.0,6.925,360,620-679,85-95,20-35,OH,CASHOUT_REFI,OWNER,TOWNHOUSE,EagleTrust,2024
LN100046,2023-01,111600.0,5.405,360,780+,85-95,>43,GA,REFINANCE,OWNER,CONDO,DeltaHome,2023
LN100047,2024-08,401600.0,7.145,360,620-679,<=60,35-43,FL,CASHOUT_REFI,INVESTOR,SFR,CasaMortgage,2024
LN100048,2023-11,143600.0,6.486,360,740-779,60-75,20-35,FL,PURCHASE,OWNER,SFR,BetaLoan,2023
LN100049,2024-03,233700.0,6.827,360,620-679,85-95,20-35,CA,PURCHASE,OWNER,SFR,DeltaHome,2024
LN100050,2024-02,280100.0,7.558,360,<620,>95,35-43,TX,PURCHASE,OWNER,SFR,BetaLoan,2024
LN100051,2022-03,303600.0,4.327,360,740-779,75-85,35-43,FL,REFINANCE,OWNER,SFR,EagleTrust,2022
LN100052,2022-10,373900.0,6.382,360,<620,75-85,35-43,CA,REFINANCE,OWNER,SFR,AlphaServ,2022
LN100053,2023-02,331500.0,5.569,360,740-779,60-75,20-35,PA,REFINANCE,OWNER,SFR,AlphaServ,2023
LN100054,2023-03,326900.0,6.27,360,620-679,75-85,>43,AZ,REFINANCE,OWNER,TOWNHOUSE,BetaLoan,2023
LN100055,2021-08,178800.0,3.759,360,740-779,75-85,<=20,TX,PURCHASE,OWNER,SFR,DeltaHome,2021
LN100056,2023-05,291400.0,5.966,360,740-779,<=60,20-35,GA,PURCHASE,SECOND_HOME,SFR,CasaMortgage,2023
LN100057,2022-01,129600.0,4.257,180,740-779,<=60,<=20,NY,PURCHASE,INVESTOR,SFR,BetaLoan,2022
LN100058,2024-02,515500.0,7.456,360,<620,75-85,20-35,CA,PURCHASE,OWNER,SFR,AlphaServ,2024
LN100059,2023-11,135800.0,6.012,180,740-779,75-85,20-35,CA,REFINANCE,OWNER,SFR,CasaMortgage,2023
LN100060,2024-09,218400.0,5.882,360,780+,60-75,20-35,GA,REFINANCE,OWNER,SFR,CasaMortgage,2024
LN100061,2024-02,141000.0,6.767,360,620-679,85-95,<=20,CA,REFINANCE,OWNER,SFR,AlphaServ,2024
LN100062,2022-10,183800.0,5.417,360,680-739,60-75,<=20,AZ,PURCHASE,OWNER,SFR,DeltaHome,2022
LN100063,2024-11,256800.0,5.97,360,740-779,85-95,>43,MI,PURCHASE,OWNER,SFR,DeltaHome,2024
LN100064,2022-12,201200.0,5.96,240,620-679,85-95,35-43,NC,PURCHASE,OWNER,TOWNHOUSE,BetaLoan,2022
LN100065,2022-08,427200.0,5.144,360,740-779,85-95,35-43,PA,PURCHASE,OWNER,SFR,AlphaServ,2022
LN100066,2024-09,282700.0,6.23,240,740-779,85-95,35-43,CA,PURCHASE,OWNER,CONDO,BetaLoan,2024
LN100067,2022-10,207300.0,6.347,180,<620,85-95,35-43,GA,PURCHASE,OWNER,SFR,CasaMortgage,2022
LN100068,2021-10,240400.0,3.938,360,680-739,75-85,<=20,TX,CASHOUT_REFI,OWNER,SFR,EagleTrust,2021
LN100069,2023-02,441900.0,5.631,180,740-779,75-85,>43,IL,PURCHASE,OWNER,SFR,AlphaServ,2023
LN100070,2024-04,384200.0,6.698,360,620-679,85-95,20-35,FL,REFINANCE,OWNER,SFR,DeltaHome,2024
LN100071,2022-02,152900.0,3.973,360,780+,75-85,20-35,CA,REFINANCE,OWNER,SFR,BetaLoan,2022
LN100072,2023-02,187900.0,6.115,360,620-679,85-95,>43,NC,REFINANCE,OWNER,CONDO,AlphaServ,2023
LN100073,2021-12,316000.0,4.529,360,680-739,60-75,20-35,FL,REFINANCE,OWNER,SFR,DeltaHome,2021
LN100074,2023-11,299200.0,6.371,360,780+,75-85,20-35,CA,REFINANCE,SECOND_HOME,MULTI_2_4,CasaMortgage,2023
LN100075,2023-02,159100.0,6.223,360,620-679,60-75,35-43,AZ,REFINANCE,OWNER,TOWNHOUSE,AlphaServ,2023
LN100076,2022-08,357600.0,4.372,360,780+,85-95,20-35,CA,PURCHASE,OWNER,SFR,CasaMortgage,2022
LN100077,2022-04,170900.0,5.466,360,<620,60-75,20-35,TX,PURCHASE,OWNER,SFR,CasaMortgage,2022
LN100078,2023-06,459000.0,5.996,180,680-739,60-75,>43,CA,REFINANCE,INVESTOR,MULTI_2_4,BetaLoan,2023
LN100079,2023-11,323900.0,7.36,360,<620,60-75,>43,IL,PURCHASE,OWNER,MULTI_2_4,AlphaServ,2023
LN100080,2024-10,153400.0,6.382,360,680-739,85-95,>43,PA,PURCHASE,OWNER,SFR,DeltaHome,2024
LN100081,2023-01,201200.0,5.731,180,740-779,>95,20-35,PA,PURCHASE,OWNER,CONDO,EagleTrust,2023
LN100082,2022-01,199600.0,3.491,360,780+,<=60,35-43,MI,REFINANCE,INVESTOR,TOWNHOUSE,EagleTrust,2022
LN100083,2024-05,274300.0,5.862,360,780+,60-75,35-43,IL,CASHOUT_REFI,OWNER,TOWNHOUSE,CasaMortgage,2024
LN100084,2023-09,232900.0,6.312,360,740-779,85-95,35-43,AZ,PURCHASE,INVESTOR,SFR,AlphaServ,2023
LN100085,2023-12,152400.0,6.14,360,740-779,75-85,<=20,MI,PURCHASE,OWNER,SFR,CasaMortgage,2023
LN100086,2021-11,136300.0,4.503,360,680-739,60-75,20-35,AZ,PURCHASE,OWNER,SFR,DeltaHome,2021
LN100087,2022-08,326800.0,4.663,360,780+,75-85,20-35,TX,CASHOUT_REFI,OWNER,CONDO,EagleTrust,2022
LN100088,2024-03,290300.0,6.634,360,680-739,85-95,>43,GA,PURCHASE,OWNER,SFR,CasaMortgage,2024
LN100089,2024-05,267700.0,6.158,360,780+,60-75,20-35,CA,PURCHASE,OWNER,CONDO,BetaLoan,2024
LN100090,2023-01,288300.0,6.3,360,620-679,75-85,35-43,IL,PURCHASE,OWNER,SFR,BetaLoan,2023
LN100091,2024-04,193200.0,6.563,360,680-739,<=60,20-35,AZ,PURCHASE,OWNER,SFR,CasaMortgage,2024
LN100092,2024-06,277300.0,6.27,360,740-779,>95,20-35,NC,REFINANCE,OWNER,CONDO,DeltaHome,2024
LN100093,2022-11,800000.0,6.193,360,620-679,85-95,20-35,MI,PURCHASE,OWNER,TOWNHOUSE,EagleTrust,2022
LN100094,2024-08,433000.0,6.848,360,620-679,75-85,35-43,FL,PURCHASE,OWNER,SFR,AlphaServ,2024
LN100095,2022-07,224200.0,4.552,360,780+,>95,35-43,NY,PURCHASE,OWNER,CONDO,AlphaServ,2022
LN100096,2022-05,201700.0,4.693,360,680-739,60-75,<=20,WA,REFINANCE,OWNER,SFR,DeltaHome,2022
LN100097,2023-11,70500.0,7.043,360,620-679,85-95,20-35,TX,PURCHASE,OWNER,SFR,BetaLoan,2023
LN100098,2023-09,412900.0,6.69,360,680-739,85-95,20-35,CA,PURCHASE,OWNER,SFR,AlphaServ,2023
LN100099,2021-12,363700.0,4.201,360,680-739,85-95,20-35,NY,REFINANCE,OWNER,SFR,AlphaServ,2021
LN100100,2024-05,199800.0,6.426,360,680-739,85-95,20-35,MI,CASHOUT_REFI,INVESTOR,CONDO,AlphaServ,2024
LN100101,2022-03,134000.0,3.912,360,780+,60-75,<=20,IL,PURCHASE,OWNER,SFR,BetaLoan,2022
LN100102,2024-04,151800.0,6.267,240,780+,<=60,20-35,CA,REFINANCE,INVESTOR,CONDO,AlphaServ,2024
LN100103,2021-07,311800.0,3.805,360,740-779,60-75,35-43,GA,REFINANCE,OWNER,SFR,EagleTrust,2021
LN100104,2024-04,245200.0,6.288,360,740-779,85-95,20-35,NC,REFINANCE,OWNER,SFR,BetaLoan,2024
LN100105,2024-04,348400.0,6.967,360,620-679,75-85,<=20,GA,PURCHASE,SECOND_HOME,SFR,DeltaHome,2024
LN100106,2024-03,265400.0,6.169,360,740-779,75-85,20-35,TX,REFINANCE,OWNER,SFR,BetaLoan,2024
LN100107,2023-10,394400.0,7.052,360,620-679,<=60,20-35,TX,REFINANCE,OWNER,SFR,EagleTrust,2023
LN100108,2023-02,301400.0,6.377,360,620-679,75-85,<=20,NY,PURCHASE,OWNER,SFR,BetaLoan,2023
LN100109,2023-12,370600.0,6.374,360,780+,75-85,<=20,FL,PURCHASE,INVESTOR,SFR,BetaLoan,2023
LN100110,2022-06,99700.0,4.386,360,780+,75-85,20-35,CA,PURCHASE,OWNER,MULTI_2_4,CasaMortgage,2022
LN100111,2024-03,146500.0,7.043,360,620-679,60-75,35-43,PA,REFINANCE,OWNER,MULTI_2_4,CasaMortgage,2024
LN100112,2023-06,216700.0,5.916,360,740-779,<=60,<=20,AZ,PURCHASE,OWNER,SFR,BetaLoan,2023
LN100113,2023-02,414900.0,5.829,180,680-739,<=60,>43,CA,REFINANCE,OWNER,CONDO,AlphaServ,2023
LN100114,2023-04,595000.0,6.131,360,680-739,>95,20-35,OH,REFINANCE,OWNER,SFR,AlphaServ,2023
LN100115,2023-06,237100.0,6.514,180,680-739,75-85,35-43,NY,PURCHASE,OWNER,SFR,AlphaServ,2023
LN100116,2021-08,193800.0,4.409,360,620-679,75-85,>43,NY,PURCHASE,OWNER,CONDO,AlphaServ,2021
LN100117,2021-12,105900.0,4.209,360,680-739,>95,20-35,OH,PURCHASE,OWNER,MULTI_2_4,BetaLoan,2021
LN100118,2022-05,376500.0,4.511,180,680-739,75-85,20-35,NY,PURCHASE,OWNER,SFR,BetaLoan,2022
LN100119,2021-11,199300.0,4.679,360,680-739,75-85,20-35,NY,REFINANCE,INVESTOR,SFR,CasaMortgage,2021
LN100120,2023-01,966300.0,6.123,360,620-679,75-85,<=20,CA,PURCHASE,OWNER,MULTI_2_4,BetaLoan,2023
LN100121,2023-11,183000.0,5.771,360,780+,60-75,35-43,NC,CASHOUT_REFI,OWNER,CONDO,AlphaServ,2023
LN100122,2023-10,658300.0,6.229,360,740-779,60-75,<=20,OH,CASHOUT_REFI,OWNER,SFR,BetaLoan,2023
LN100123,2023-02,357500.0,5.49,240,780+,85-95,35-43,CA,CASHOUT_REFI,OWNER,SFR,CasaMortgage,2023
LN100124,2024-06,160700.0,7.643,180,<620,75-85,35-43,FL,PURCHASE,INVESTOR,SFR,BetaLoan,2024
LN100125,2023-06,283400.0,6.034,360,740-779,60-75,35-43,TX,PURCHASE,OWNER,SFR,BetaLoan,2023
LN100126,2021-10,361200.0,3.363,360,780+,85-95,20-35,NY,REFINANCE,OWNER,SFR,BetaLoan,2021
LN100127,2024-03,230600.0,6.86,360,620-679,<=60,35-43,CA,PURCHASE,OWNER,SFR,CasaMortgage,2024
LN100128,2023-07,372200.0,6.954,360,620-679,75-85,<=20,GA,CASHOUT_REFI,INVESTOR,SFR,CasaMortgage,2023
LN100129,2023-09,368500.0,6.627,360,680-739,85-95,35-43,OH,REFINANCE,INVESTOR,SFR,CasaMortgage,2023
LN100130,2023-06,333800.0,6.376,360,680-739,60-75,20-35,OH,CASHOUT_REFI,OWNER,SFR,CasaMortgage,2023
LN100131,2023-06,253400.0,6.565,360,680-739,60-75,<=20,FL,CASHOUT_REFI,OWNER,TOWNHOUSE,BetaLoan,2023
LN100132,2021-10,150400.0,4.137,360,680-739,75-85,20-35,NC,CASHOUT_REFI,OWNER,SFR,CasaMortgage,2021
LN100133,2023-06,246600.0,6.508,360,680-739,85-95,20-35,PA,PURCHASE,OWNER,SFR,DeltaHome,2023
LN100134,2024-04,276300.0,6.524,360,680-739,85-95,20-35,NY,CASHOUT_REFI,OWNER,CONDO,AlphaServ,2024
LN100135,2022-07,109700.0,6.235,360,<620,85-95,35-43,NY,PURCHASE,OWNER,SFR,EagleTrust,2022
LN100136,2023-08,275400.0,6.323,360,680-739,<=60,20-35,AZ,REFINANCE,OWNER,CONDO,AlphaServ,2023
LN100137,2021-08,244400.0,3.583,360,740-779,60-75,>43,GA,REFINANCE,INVESTOR,SFR,AlphaServ,2021
LN100138,2022-09,142400.0,5.482,360,620-679,75-85,35-43,IL,PURCHASE,OWNER,SFR,CasaMortgage,2022
LN100139,2023-01,219700.0,6.481,360,620-679,85-95,35-43,NC,PURCHASE,OWNER,SFR,BetaLoan,2023
LN100140,2024-12,221800.0,7.165,360,620-679,<=60,>43,FL,REFINANCE,OWNER,MULTI_2_4,EagleTrust,2024
LN100141,2022-04,608400.0,5.384,360,<620,60-75,35-43,CA,PURCHASE,OWNER,SFR,BetaLoan,2022
LN100142,2022-06,281800.0,4.769,180,680-739,<=60,<=20,NC,REFINANCE,OWNER,SFR,CasaMortgage,2022
LN100143,2022-12,406900.0,6.175,360,<620,60-75,20-35,GA,PURCHASE,OWNER,CONDO,AlphaServ,2022
LN100144,2024-12,242100.0,6.671,360,620-679,85-95,20-35,NY,PURCHASE,OWNER,TOWNHOUSE,BetaLoan,2024
LN100145,2024-06,109800.0,6.051,360,780+,>95,20-35,CA,REFINANCE,OWNER,SFR,CasaMortgage,2024
LN100146,2021-08,345400.0,3.542,360,780+,<=60,>43,WA,PURCHASE,SECOND_HOME,SFR,AlphaServ,2021
LN100147,2022-04,189800.0,4.674,360,620-679,75-85,20-35,NC,REFINANCE,OWNER,SFR,CasaMortgage,2022
LN100148,2024-05,219500.0,6.739,360,620-679,60-75,35-43,NY,PURCHASE,INVESTOR,SFR,EagleTrust,2024
LN100149,2021-09,158900.0,4.466,180,680-739,75-85,20-35,TX,CASHOUT_REFI,SECOND_HOME,SFR,AlphaServ,2021
LN100150,2024-06,263700.0,6.507,360,740-779,<=60,>43,OH,CASHOUT_REFI,OWNER,SFR,CasaMortgage,2024
LN100151,2022-06,412200.0,4.616,360,740-779,60-75,<=20,CA,REFINANCE,SECOND_HOME,CONDO,CasaMortgage,2022
LN100152,2024-09,388400.0,7.497,360,<620,60-75,20-35,NY,PURCHASE,OWNER,SFR,DeltaHome,2024
LN100153,2022-07,521100.0,5.424,360,620-679,85-95,>43,WA,PURCHASE,OWNER,CONDO,AlphaServ,2022
LN100154,2023-01,555500.0,5.808,360,680-739,75-85,20-35,NC,PURCHASE,INVESTOR,SFR,CasaMortgage,2023
LN100155,2023-10,101700.0,6.0,360,780+,75-85,35-43,WA,REFINANCE,OWNER,SFR,CasaMortgage,2023
LN100156,2021-12,149200.0,3.514,360,780+,75-85,20-35,NY,PURCHASE,OWNER,SFR,BetaLoan,2021
LN100157,2023-06,113100.0,6.653,360,620-679,60-75,35-43,CA,PURCHASE,OWNER,SFR,CasaMortgage,2023
LN100158,2023-04,339200.0,5.48,360,740-779,60-75,35-43,WA,PURCHASE,OWNER,SFR,DeltaHome,2023
LN100159,2024-03,186900.0,6.96,360,620-679,<=60,35-43,PA,PURCHASE,OWNER,MULTI_2_4,CasaMortgage,2024
LN100160,2024-12,204800.0,6.27,360,740-779,60-75,20-35,OH,REFINANCE,OWNER,CONDO,AlphaServ,2024
LN100161,2023-10,231500.0,5.896,360,780+,60-75,35-43,TX,PURCHASE,OWNER,TOWNHOUSE,BetaLoan,2023
LN100162,2022-12,303200.0,5.752,180,680-739,>95,20-35,NC,PURCHASE,OWNER,SFR,CasaMortgage,2022
LN100163,2022-12,130800.0,6.088,240,620-679,>95,20-35,CA,PURCHASE,OWNER,CONDO,AlphaServ,2022
LN100164,2022-12,144900.0,5.487,360,740-779,85-95,35-43,AZ,PURCHASE,SECOND_HOME,SFR,BetaLoan,2022
LN100165,2024-05,255400.0,6.668,360,680-739,75-85,<=20,NC,PURCHASE,OWNER,TOWNHOUSE,AlphaServ,2024
LN100166,2022-08,437800.0,4.706,360,740-779,85-95,35-43,TX,REFINANCE,OWNER,TOWNHOUSE,BetaLoan,2022
LN100167,2022-02,252300.0,4.197,360,680-739,75-85,20-35,TX,REFINANCE,OWNER,SFR,DeltaHome,2022
LN100168,2022-09,178800.0,4.556,360,780+,75-85,<=20,CA,REFINANCE,OWNER,SFR,DeltaHome,2022
LN100169,2021-07,97100.0,3.895,360,680-739,60-75,35-43,MI,PURCHASE,OWNER,SFR,CasaMortgage,2021
LN100170,2021-11,391900.0,4.779,180,620-679,>95,35-43,CA,REFINANCE,OWNER,SFR,AlphaServ,2021
LN100171,2021-10,183300.0,4.309,360,680-739,85-95,35-43,IL,PURCHASE,OWNER,TOWNHOUSE,CasaMortgage,2021
LN100172,2024-03,152300.0,7.412,240,<620,60-75,>43,FL,REFINANCE,OWNER,SFR,CasaMortgage,2024
LN100173,2024-01,118000.0,6.92,180,620-679,75-85,20-35,OH,CASHOUT_REFI,INVESTOR,SFR,AlphaServ,2024
LN100174,2023-12,133600.0,6.013,360,740-779,85-95,>43,NC,REFINANCE,OWNER,SFR,CasaMortgage,2023
LN100175,2023-02,165600.0,6.117,360,620-679,>95,20-35,TX,CASHOUT_REFI,INVESTOR,SFR,BetaLoan,2023
LN100176,2024-01,229200.0,7.547,360,<620,75-85,20-35,TX,PURCHASE,OWNER,SFR,CasaMortgage,2024
LN100177,2022-01,148200.0,4.692,180,620-679,75-85,35-43,FL,REFINANCE,OWNER,MULTI_2_4,CasaMortgage,2022
LN100178,2024-08,277500.0,7.423,360,<620,60-75,20-35,WA,PURCHASE,OWNER,SFR,AlphaServ,2024
LN100179,2023-04,228500.0,5.764,360,780+,60-75,>43,NY,PURCHASE,OWNER,SFR,AlphaServ,2023
LN100180,2024-10,693800.0,6.127,360,780+,60-75,20-35,TX,REFINANCE,OWNER,MULTI_2_4,DeltaHome,2024
LN100181,2022-01,118500.0,5.228,360,<620,<=60,<=20,IL,REFINANCE,INVESTOR,SFR,BetaLoan,2022
LN100182,2023-03,274500.0,5.964,360,740-779,75-85,35-43,TX,REFINANCE,OWNER,SFR,DeltaHome,2023
LN100183,2023-12,276000.0,6.157,180,740-779,75-85,<=20,MI,REFINANCE,OWNER,CONDO,AlphaServ,2023
LN100184,2023-03,160500.0,5.377,180,780+,85-95,<=20,FL,CASHOUT_REFI,OWNER,TOWNHOUSE,EagleTrust,2023
LN100185,2023-01,266400.0,5.603,360,680-739,75-85,<=20,WA,REFINANCE,OWNER,CONDO,BetaLoan,2023
LN100186,2022-01,360900.0,4.586,240,680-739,60-75,>43,GA,REFINANCE,OWNER,SFR,BetaLoan,2022
LN100187,2022-11,266600.0,5.462,360,680-739,75-85,<=20,GA,PURCHASE,OWNER,SFR,AlphaServ,2022
LN100188,2022-05,475900.0,4.27,240,780+,85-95,20-35,FL,PURCHASE,OWNER,SFR,DeltaHome,2022
LN100189,2022-07,95800.0,5.061,360,740-779,75-85,20-35,TX,PURCHASE,OWNER,SFR,CasaMortgage,2022
LN100190,2023-11,174700.0,6.386,360,680-739,75-85,>43,CA,PURCHASE,OWNER,SFR,DeltaHome,2023
LN100191,2023-09,495700.0,6.881,360,620-679,60-75,>43,PA,CASHOUT_REFI,OWNER,SFR,BetaLoan,2023
LN100192,2023-08,384800.0,6.135,360,740-779,<=60,>43,WA,REFINANCE,OWNER,SFR,DeltaHome,2023
LN100193,2022-10,325500.0,4.948,360,780+,>95,20-35,TX,REFINANCE,OWNER,CONDO,BetaLoan,2022
LN100194,2024-11,444600.0,6.688,360,680-739,60-75,20-35,WA,PURCHASE,OWNER,SFR,BetaLoan,2024
LN100195,2021-10,107700.0,3.948,360,740-779,60-75,35-43,GA,REFINANCE,OWNER,SFR,EagleTrust,2021
LN100196,2022-09,365100.0,5.333,360,680-739,<=60,<=20,MI,REFINANCE,OWNER,SFR,AlphaServ,2022
LN100197,2021-11,412100.0,4.536,360,680-739,75-85,<=20,WA,PURCHASE,OWNER,SFR,AlphaServ,2021
LN100198,2022-09,189800.0,5.033,240,680-739,85-95,>43,WA,PURCHASE,OWNER,MULTI_2_4,CasaMortgage,2022
LN100199,2024-11,833300.0,6.01,360,740-779,85-95,<=20,OH,REFINANCE,OWNER,SFR,DeltaHome,2024
LN100200,2022-10,278800.0,4.927,360,780+,85-95,20-35,IL,PURCHASE,OWNER,CONDO,AlphaServ,2022
LN100201,2024-09,95200.0,6.662,180,680-739,60-75,20-35,NC,REFINANCE,OWNER,SFR,DeltaHome,2024
LN100202,2023-03,303000.0,6.043,360,680-739,60-75,<=20,TX,CASHOUT_REFI,OWNER,MULTI_2_4,EagleTrust,2023
LN100203,2023-12,184600.0,6.435,240,680-739,>95,>43,NY,PURCHASE,OWNER,SFR,BetaLoan,2023
LN100204,2023-02,431200.0,6.573,180,620-679,75-85,<=20,PA,PURCHASE,OWNER,TOWNHOUSE,EagleTrust,2023
LN100205,2022-06,326600.0,5.038,240,680-739,85-95,20-35,CA,PURCHASE,OWNER,CONDO,AlphaServ,2022
LN100206,2024-03,195000.0,7.389,360,<620,75-85,20-35,NY,PURCHASE,OWNER,TOWNHOUSE,CasaMortgage,2024
LN100207,2024-11,501900.0,6.819,360,680-739,60-75,20-35,FL,REFINANCE,OWNER,CONDO,DeltaHome,2024
LN100208,2022-06,389600.0,5.217,360,620-679,>95,35-43,OH,PURCHASE,OWNER,SFR,BetaLoan,2022
LN100209,2024-03,175900.0,6.948,360,620-679,60-75,35-43,TX,PURCHASE,OWNER,SFR,DeltaHome,2024
LN100210,2022-05,238400.0,4.193,360,740-779,75-85,20-35,AZ,PURCHASE,OWNER,SFR,CasaMortgage,2022
LN100211,2024-01,322100.0,7.02,360,620-679,60-75,20-35,MI,REFINANCE,OWNER,SFR,AlphaServ,2024
LN100212,2024-04,216700.0,6.949,180,680-739,75-85,<=20,CA,PURCHASE,INVESTOR,TOWNHOUSE,EagleTrust,2024
LN100213,2023-01,219600.0,5.671,360,780+,75-85,20-35,FL,PURCHASE,INVESTOR,CONDO,BetaLoan,2023
LN100214,2024-01,259500.0,6.508,360,680-739,60-75,>43,CA,PURCHASE,OWNER,SFR,AlphaServ,2024
LN100215,2022-06,158000.0,5.195,360,620-679,>95,35-43,CA,PURCHASE,SECOND_HOME,SFR,AlphaServ,2022
