loan_id,reporting_month,corruption_type
LN106182,2022-09,DATE_INVALID
LN106970,2025-11,DUPLICATE_RECORD
LN107966,2025-01,STALE_UPDATE
LN102146,2023-06,STATUS_INCONSISTENT
LN100128,2024-06,DATE_INVALID
LN107398,2022-07,BALANCE_MISMATCH
LN107914,2024-07,DATE_INVALID
LN105438,2025-05,BALANCE_MISMATCH
LN107655,2024-10,BALANCE_MISMATCH
LN107360,2023-08,DOC_GAP
LN108080,2025-05,BALANCE_MISMATCH
LN104014,2022-07,DATE_INVALID
LN101401,2023-08,STATUS_INCONSISTENT
LN100018,2024-06,DUPLICATE_RECORD
LN107250,2025-02,BALANCE_MISMATCH
LN102485,2023-11,STALE_UPDATE
LN105136,2025-02,STATUS_INCONSISTENT
LN102815,2024-08,BALANCE_MISMATCH
LN108727,2025-10,DOC_GAP
LN108033,2023-11,BALANCE_MISMATCH
LN105629,2022-08,DUPLICATE_RECORD
LN107312,2025-01,STALE_UPDATE
LN102740,2024-07,BALANCE_MISMATCH
LN106209,2025-06,DOC_GAP
LN106142,2024-12,DATE_INVALID
LN105498,2025-12,DOC_GAP
LN104954,2025-05,DOC_GAP
LN102562,2024-03,STATUS_INCONSISTENT
LN101899,2024-04,BALANCE_MISMATCH
LN105467,2024-05,STATUS_INCONSISTENT
LN108095,2022-11,DATE_INVALID
LN105990,2023-06,BALANCE_MISMATCH
LN100640,2024-08,BALANCE_MISMATCH
LN105320,2025-12,DATE_INVALID
LN107188,2024-12,STALE_UPDATE
LN101741,2024-05,DATE_INVALID
LN100350,2025-04,STALE_UPDATE
LN102923,2025-07,STALE_UPDATE
LN102381,2023-10,STALE_UPDATE
LN101968,2024-06,BALANCE_MISMATCH
LN106059,2024-01,STATUS_INCONSISTENT
LN107806,2023-07,DOC_GAP
LN103675,2024-04,STALE_UPDATE
LN103292,2022-12,STALE_UPDATE
LN105108,2025-11,DOC_GAP
LN100544,2024-11,BALANCE_MISMATCH
LN101815,2024-04,DOC_GAP
LN102028,2023-05,BALANCE_MISMATCH
LN101882,2023-05,BALANCE_MISMATCH
LN108546,2025-08,STATUS_INCONSISTENT
LN108038,2024-01,STATUS_INCONSISTENT
LN103093,2022-10,STATUS_INCONSISTENT
LN100712,2024-03,BALANCE_MISMATCH
LN100198,2024-12,BALANCE_MISMATCH
LN108334,2025-02,DATE_INVALID
LN108877,2023-08,DOC_GAP
LN104728,2023-08,DATE_INVALID
LN102876,2024-09,STALE_UPDATE
LN103932,2024-05,DOC_GAP
LN102034,2025-07,DUPLICATE_RECORD
LN101813,2025-03,STALE_UPDATE
LN102790,2025-05,STATUS_INCONSISTENT
LN107041,2023-11,STATUS_INCONSISTENT
LN102355,2024-12,STALE_UPDATE
LN100416,2025-07,BALANCE_MISMATCH
LN107378,2023-06,STATUS_INCONSISTENT
LN104542,2024-12,DATE_INVALID
LN102356,2023-03,DUPLICATE_RECORD
LN102814,2024-07,DUPLICATE_RECORD
LN108430,2023-03,STATUS_INCONSISTENT
LN108949,2025-07,STATUS_INCONSISTENT
LN108282,2023-09,DATE_INVALID
LN106736,2022-12,DATE_INVALID
LN103814,2025-05,BALANCE_MISMATCH
LN101542,2023-06,BALANCE_MISMATCH
LN107498,2023-08,DATE_INVALID
LN103297,2024-11,STALE_UPDATE
LN107881,2022-10,DATE_INVALID
LN100364,2025-05,STATUS_INCONSISTENT
LN107685,2024-02,STALE_UPDATE
LN102411,2023-04,DATE_INVALID
LN108841,2023-12,STATUS_INCONSISTENT
LN107770,2023-01,STATUS_INCONSISTENT
LN100698,2025-12,BALANCE_MISMATCH
LN102635,2025-01,STATUS_INCONSISTENT
LN104866,2023-07,STALE_UPDATE
LN106114,2022-06,STATUS_INCONSISTENT
LN105988,2024-09,STALE_UPDATE
LN103273,2023-06,BALANCE_MISMATCH
LN101606,2025-04,DUPLICATE_RECORD
LN100258,2024-05,BALANCE_MISMATCH
LN106891,2023-07,STALE_UPDATE
LN101127,2025-04,DATE_INVALID
LN104832,2024-08,DOC_GAP
LN102307,2022-06,DUPLICATE_RECORD
LN107140,2022-08,DATE_INVALID
LN104633,2024-01,DATE_INVALID
LN107701,2023-07,STALE_UPDATE
LN101841,2025-06,BALANCE_MISMATCH
LN103922,2024-02,BALANCE_MISMATCH
LN107834,2025-02,STALE_UPDATE
LN106989,2022-07,DOC_GAP
LN106820,2024-11,STALE_UPDATE
LN101066,2025-12,STATUS_INCONSISTENT
LN106040,2025-02,DATE_INVALID
LN101055,2025-05,DATE_INVALID
LN101192,2025-08,BALANCE_MISMATCH
LN102402,2024-07,STATUS_INCONSISTENT
LN104382,2025-06,STATUS_INCONSISTENT
LN101901,2025-11,STATUS_INCONSISTENT
LN106808,2022-01,STALE_UPDATE
LN108228,2024-04,DATE_INVALID
LN104879,2024-08,DOC_GAP
LN103974,2023-12,STATUS_INCONSISTENT
LN101592,2022-11,DATE_INVALID
LN106222,2025-01,BALANCE_MISMATCH
LN104381,2025-08,DOC_GAP
LN108961,2023-03,DATE_INVALID
LN102435,2025-10,STALE_UPDATE
LN103183,2024-04,DOC_GAP
LN108274,2023-04,BALANCE_MISMATCH
LN105649,2025-09,STALE_UPDATE
LN102820,2023-08,DUPLICATE_RECORD
LN101577,2025-02,DUPLICATE_RECORD
LN101251,2023-04,DATE_INVALID
LN103431,2024-12,STATUS_INCONSISTENT
LN105382,2023-06,STALE_UPDATE
LN103177,2024-04,BALANCE_MISMATCH
LN104053,2025-02,STALE_UPDATE
LN100920,2025-05,BALANCE_MISMATCH
LN106455,2022-03,STATUS_INCONSISTENT
LN102579,2025-07,STATUS_INCONSISTENT
LN108779,2023-09,STATUS_INCONSISTENT
LN104499,2024-01,STALE_UPDATE
LN107505,2024-02,BALANCE_MISMATCH
LN105089,2024-03,BALANCE_MISMATCH
LN103793,2024-07,BALANCE_MISMATCH
LN106880,2024-02,DOC_GAP
LN105218,2022-08,DUPLICATE_RECORD
LN104010,2025-02,DOC_GAP
LN100227,2025-07,BALANCE_MISMATCH
LN105123,2025-11,DUPLICATE_RECORD
LN102065,2025-06,DUPLICATE_RECORD
LN105379,2025-12,BALANCE_MISMATCH
LN101641,2023-03,BALANCE_MISMATCH
LN107504,2024-09,DATE_INVALID
LN103693,2024-11,DOC_GAP
LN106464,2025-07,DUPLICATE_RECORD
LN101808,2022-09,DOC_GAP
LN102022,2025-03,STALE_UPDATE
LN103405,2023-08,DATE_INVALID
LN107669,2023-12,STALE_UPDATE
LN104797,2024-01,STALE_UPDATE
LN102738,2024-01,DATE_INVALID
LN108058,2025-04,BALANCE_MISMATCH
LN100218,2025-12,DOC_GAP
LN106755,2025-07,BALANCE_MISMATCH
LN104927,2024-11,BALANCE_MISMATCH
LN106205,2025-06,STATUS_INCONSISTENT
LN101434,2024-08,BALANCE_MISMATCH
LN107283,2023-01,BALANCE_MISMATCH
LN102734,2023-08,BALANCE_MISMATCH
LN108556,2025-02,STALE_UPDATE
LN103392,2024-10,STALE_UPDATE
LN106688,2024-10,DATE_INVALID
LN101006,2024-08,STATUS_INCONSISTENT
LN100468,2025-03,DOC_GAP
LN100965,2024-03,DATE_INVALID
LN103691,2024-03,BALANCE_MISMATCH
LN107665,2024-06,BALANCE_MISMATCH
LN104137,2022-12,DATE_INVALID
LN104168,2024-05,STATUS_INCONSISTENT
LN100960,2023-08,BALANCE_MISMATCH
LN104409,2023-09,DATE_INVALID
LN103197,2025-01,DATE_INVALID
LN101972,2025-10,DATE_INVALID
LN108855,2023-11,DUPLICATE_RECORD
LN104137,2024-07,DUPLICATE_RECORD
LN104163,2024-06,STALE_UPDATE
LN108625,2025-08,DOC_GAP
LN108182,2025-12,DATE_INVALID
LN105815,2023-07,STALE_UPDATE
LN108143,2025-02,DATE_INVALID
LN100487,2023-11,BALANCE_MISMATCH
LN106171,2023-12,BALANCE_MISMATCH
LN107403,2023-04,STATUS_INCONSISTENT
LN101204,2024-08,STATUS_INCONSISTENT
LN101644,2023-01,STALE_UPDATE
LN107259,2023-06,STATUS_INCONSISTENT
LN106194,2024-04,DOC_GAP
LN107323,2025-11,BALANCE_MISMATCH
LN106471,2025-05,BALANCE_MISMATCH
LN105218,2024-10,DOC_GAP
LN106182,2025-07,STALE_UPDATE
LN108418,2024-07,STATUS_INCONSISTENT
LN101614,2022-05,DOC_GAP
LN101011,2025-02,STATUS_INCONSISTENT
LN106578,2022-03,BALANCE_MISMATCH
LN107061,2022-11,BALANCE_MISMATCH
LN107262,2025-08,STALE_UPDATE
LN104852,2022-03,STATUS_INCONSISTENT
LN104386,2024-12,STALE_UPDATE
LN107608,2023-06,DATE_INVALID
LN104886,2024-09,DOC_GAP
LN102485,2024-09,DOC_GAP
LN101799,2024-01,BALANCE_MISMATCH
LN102286,2025-02,BALANCE_MISMATCH
LN106649,2024-01,DOC_GAP
LN106065,2025-12,STATUS_INCONSISTENT
LN106382,2025-10,DATE_INVALID
LN102695,2025-01,STALE_UPDATE
LN105568,2022-11,BALANCE_MISMATCH
LN103358,2023-09,STALE_UPDATE
LN107738,2024-07,DOC_GAP
LN100918,2024-05,STALE_UPDATE
LN100395,2025-11,STALE_UPDATE
LN105662,2025-06,DOC_GAP
LN103313,2023-02,BALANCE_MISMATCH
LN106842,2023-08,BALANCE_MISMATCH
LN101123,2024-09,DUPLICATE_RECORD
LN108336,2024-10,DATE_INVALID
LN106348,2025-03,DUPLICATE_RECORD
LN108172,2024-04,DOC_GAP
LN107216,2024-01,DATE_INVALID
LN100568,2024-12,DUPLICATE_RECORD
LN103454,2025-11,STALE_UPDATE
LN106391,2025-06,DATE_INVALID
LN103270,2025-02,DOC_GAP
LN104428,2024-11,BALANCE_MISMATCH
LN108958,2023-10,BALANCE_MISMATCH
LN103133,2022-04,STALE_UPDATE
LN100375,2024-02,STALE_UPDATE
LN103059,2022-08,STALE_UPDATE
LN103400,2024-11,STATUS_INCONSISTENT
LN103208,2023-06,BALANCE_MISMATCH
LN100609,2024-07,STALE_UPDATE
LN102050,2025-03,BALANCE_MISMATCH
LN105672,2024-11,BALANCE_MISMATCH
LN107535,2024-08,STALE_UPDATE
LN107970,2022-09,STATUS_INCONSISTENT
LN108763,2023-03,DUPLICATE_RECORD
LN108317,2024-12,DATE_INVALID
LN100976,2025-03,DATE_INVALID
LN106271,2025-11,STATUS_INCONSISTENT
LN105187,2022-07,DUPLICATE_RECORD
LN106522,2025-08,DOC_GAP
LN100151,2023-01,DATE_INVALID
LN103681,2021-09,BALANCE_MISMATCH
LN105340,2022-10,BALANCE_MISMATCH
LN103011,2023-07,DOC_GAP
LN100854,2025-07,STALE_UPDATE
LN100157,2024-03,STATUS_INCONSISTENT
LN104521,2024-10,DATE_INVALID
LN108253,2025-05,STATUS_INCONSISTENT
LN103284,2024-02,DATE_INVALID
LN106928,2024-01,BALANCE_MISMATCH
LN104247,2025-02,STALE_UPDATE
LN102276,2023-05,STALE_UPDATE
LN101408,2024-07,STALE_UPDATE
LN101670,2024-03,DATE_INVALID
LN106255,2023-05,STALE_UPDATE
LN105795,2024-02,STATUS_INCONSISTENT
LN104583,2024-04,BALANCE_MISMATCH
LN103504,2023-05,STATUS_INCONSISTENT
LN103078,2025-06,STATUS_INCONSISTENT
LN104293,2024-08,DATE_INVALID
LN104194,2024-09,STALE_UPDATE
LN105482,2023-07,STALE_UPDATE
LN107274,2022-07,DATE_INVALID
LN100784,2023-10,DUPLICATE_RECORD
LN102444,2024-07,DATE_INVALID
LN108842,2024-11,BALANCE_MISMATCH
LN103244,2024-07,DOC_GAP
LN107862,2024-04,DUPLICATE_RECORD
LN103606,2025-02,STATUS_INCONSISTENT
LN104048,2024-02,STATUS_INCONSISTENT
LN108343,2024-03,STALE_UPDATE
LN103151,2025-09,STATUS_INCONSISTENT
LN105187,2022-11,DOC_GAP
LN100107,2024-07,DATE_INVALID
LN106401,2024-10,STALE_UPDATE
LN100154,2024-07,STATUS_INCONSISTENT
LN105517,2023-12,STATUS_INCONSISTENT
LN101024,2025-10,STATUS_INCONSISTENT
LN108026,2025-06,BALANCE_MISMATCH
LN104943,2025-05,BALANCE_MISMATCH
LN108772,2025-05,STALE_UPDATE
LN100077,2022-04,STALE_UPDATE
LN100430,2023-02,STATUS_INCONSISTENT
LN103542,2021-10,STALE_UPDATE
LN106054,2025-05,BALANCE_MISMATCH
LN106935,2025-10,DATE_INVALID
LN104676,2024-02,DATE_INVALID
LN101191,2022-09,DUPLICATE_RECORD
LN107553,2025-01,STALE_UPDATE
LN106821,2025-10,BALANCE_MISMATCH
LN101219,2024-01,STATUS_INCONSISTENT
LN102328,2024-08,DUPLICATE_RECORD
LN102783,2024-10,DOC_GAP
LN100660,2023-03,DOC_GAP
LN107571,2025-04,DOC_GAP
LN106465,2024-07,DUPLICATE_RECORD
LN107149,2023-11,DATE_INVALID
LN104706,2024-04,BALANCE_MISMATCH
LN103876,2024-11,STATUS_INCONSISTENT
LN100351,2021-08,STATUS_INCONSISTENT
LN103876,2025-01,STATUS_INCONSISTENT
LN101681,2022-08,STALE_UPDATE
LN100066,2024-10,DOC_GAP
LN108796,2024-01,STALE_UPDATE
LN108361,2025-02,STATUS_INCONSISTENT
LN105891,2024-04,DATE_INVALID
LN107750,2024-03,STATUS_INCONSISTENT
LN105625,2025-06,DATE_INVALID
LN101298,2024-04,DOC_GAP
LN100239,2024-01,BALANCE_MISMATCH
LN107085,2025-06,DOC_GAP
LN102369,2024-05,STATUS_INCONSISTENT
LN108478,2024-01,DATE_INVALID
LN101267,2023-02,STALE_UPDATE
LN102022,2025-09,STATUS_INCONSISTENT
LN100959,2024-01,DUPLICATE_RECORD
LN108323,2022-11,STATUS_INCONSISTENT
LN108520,2025-08,DUPLICATE_RECORD
LN101719,2025-12,BALANCE_MISMATCH
LN101739,2022-10,STALE_UPDATE
LN103014,2024-09,STALE_UPDATE
LN105864,2024-11,STATUS_INCONSISTENT
LN108328,2022-09,DOC_GAP
LN106246,2024-04,DOC_GAP
LN101843,2025-04,STALE_UPDATE
LN107880,2024-01,DUPLICATE_RECORD
LN104007,2024-12,DUPLICATE_RECORD
LN102968,2025-12,STALE_UPDATE
LN103778,2025-02,STATUS_INCONSISTENT
LN107446,2022-01,STATUS_INCONSISTENT
LN106877,2022-02,STATUS_INCONSISTENT
LN104324,2025-07,STALE_UPDATE
LN101482,2023-02,BALANCE_MISMATCH
LN104397,2024-11,DATE_INVALID
LN105592,2024-07,DATE_INVALID
LN101191,2024-06,BALANCE_MISMATCH
LN100022,2023-04,STATUS_INCONSISTENT
LN106536,2023-04,STALE_UPDATE
LN102260,2023-07,DOC_GAP
LN100764,2025-05,DOC_GAP
LN104184,2022-03,BALANCE_MISMATCH
LN103398,2025-03,STATUS_INCONSISTENT
LN104547,2024-11,BALANCE_MISMATCH
LN106156,2024-09,DUPLICATE_RECORD
LN105960,2025-09,BALANCE_MISMATCH
LN100459,2024-02,STALE_UPDATE
LN100435,2023-04,STATUS_INCONSISTENT
LN106292,2021-11,STALE_UPDATE
LN100887,2025-12,DATE_INVALID
LN106183,2024-10,STALE_UPDATE
LN102199,2023-06,DATE_INVALID
LN107498,2025-10,STALE_UPDATE
LN103071,2023-11,STATUS_INCONSISTENT
LN100350,2024-10,STATUS_INCONSISTENT
LN108618,2022-09,STATUS_INCONSISTENT
LN105427,2022-03,STATUS_INCONSISTENT
LN102139,2024-04,BALANCE_MISMATCH
LN102605,2024-09,STALE_UPDATE
LN100742,2025-06,STATUS_INCONSISTENT
LN108050,2023-01,DOC_GAP
LN106229,2023-02,BALANCE_MISMATCH
LN104598,2025-01,DATE_INVALID
LN107793,2022-08,DUPLICATE_RECORD
LN105851,2025-11,STALE_UPDATE
LN100834,2024-11,STATUS_INCONSISTENT
LN102291,2024-08,STATUS_INCONSISTENT
LN100687,2023-11,STATUS_INCONSISTENT
LN107869,2024-08,DOC_GAP
LN101458,2022-06,STATUS_INCONSISTENT
LN104705,2023-01,STALE_UPDATE
LN106202,2024-09,STATUS_INCONSISTENT
LN107973,2024-08,DUPLICATE_RECORD
LN108292,2024-06,BALANCE_MISMATCH
LN105251,2023-06,BALANCE_MISMATCH
LN108438,2025-11,DATE_INVALID
LN102740,2025-06,STALE_UPDATE
LN104824,2023-12,STALE_UPDATE
LN104159,2025-02,BALANCE_MISMATCH
LN107369,2024-08,DATE_INVALID
LN104064,2025-06,STALE_UPDATE
LN106286,2024-02,DOC_GAP
LN107286,2025-01,DUPLICATE_RECORD
LN101164,2024-07,DOC_GAP
LN102586,2023-12,DATE_INVALID
LN101759,2023-11,DOC_GAP
LN103735,2024-07,DATE_INVALID
LN101007,2024-04,BALANCE_MISMATCH
LN102612,2022-09,DATE_INVALID
LN100595,2025-05,STALE_UPDATE
LN107026,2023-11,STATUS_INCONSISTENT
LN103950,2025-06,STATUS_INCONSISTENT
LN107503,2023-11,BALANCE_MISMATCH
LN105289,2022-11,DUPLICATE_RECORD
LN102211,2025-01,BALANCE_MISMATCH
LN107636,2023-04,STATUS_INCONSISTENT
LN106199,2025-12,STATUS_INCONSISTENT
LN102320,2023-09,DOC_GAP
LN108994,2025-09,STATUS_INCONSISTENT
LN102829,2022-11,STATUS_INCONSISTENT
LN101261,2024-09,STATUS_INCONSISTENT
LN108910,2024-12,STATUS_INCONSISTENT
LN105548,2024-12,DUPLICATE_RECORD
LN107482,2023-07,BALANCE_MISMATCH
LN105343,2024-09,DUPLICATE_RECORD
LN107039,2024-05,STALE_UPDATE
LN100759,2025-10,BALANCE_MISMATCH
LN104057,2024-11,STATUS_INCONSISTENT
LN102711,2025-04,STATUS_INCONSISTENT
LN108536,2024-06,BALANCE_MISMATCH
LN108274,2022-03,DOC_GAP
LN100037,2025-10,BALANCE_MISMATCH
LN101544,2023-11,DATE_INVALID
LN103513,2022-09,DATE_INVALID
LN107019,2024-08,BALANCE_MISMATCH
LN108179,2023-06,STATUS_INCONSISTENT
LN100221,2023-02,DATE_INVALID
LN100625,2025-04,DATE_INVALID
LN104794,2023-06,DOC_GAP
LN105672,2025-01,STATUS_INCONSISTENT
LN103474,2025-04,STATUS_INCONSISTENT
LN105041,2024-03,BALANCE_MISMATCH
LN107402,2024-07,BALANCE_MISMATCH
LN104664,2023-12,STATUS_INCONSISTENT
LN107554,2023-09,STATUS_INCONSISTENT
LN107890,2023-06,STALE_UPDATE
LN105562,2024-10,DATE_INVALID
LN108372,2025-12,DOC_GAP
LN100689,2025-11,STATUS_INCONSISTENT
LN107250,2023-10,DATE_INVALID
LN104929,2023-10,BALANCE_MISMATCH
LN101037,2025-10,BALANCE_MISMATCH
LN106314,2025-04,DOC_GAP
LN108243,2025-06,STALE_UPDATE
LN104302,2023-07,DOC_GAP
LN108190,2025-12,STALE_UPDATE
LN103703,2025-05,STATUS_INCONSISTENT
LN104885,2022-03,BALANCE_MISMATCH
LN102818,2021-12,STATUS_INCONSISTENT
LN104991,2023-04,DUPLICATE_RECORD
LN105935,2025-02,BALANCE_MISMATCH
LN106044,2023-09,DATE_INVALID
LN100460,2025-03,DATE_INVALID
LN104416,2025-01,BALANCE_MISMATCH
LN104468,2025-07,STALE_UPDATE
LN104181,2023-06,STATUS_INCONSISTENT
LN106747,2025-12,STATUS_INCONSISTENT
LN105212,2024-11,DATE_INVALID
LN103857,2023-10,DOC_GAP
LN105944,2022-06,DATE_INVALID
LN107194,2025-06,STALE_UPDATE
LN100724,2025-03,DATE_INVALID
LN108950,2023-03,BALANCE_MISMATCH
LN107473,2025-03,STALE_UPDATE
LN105674,2023-11,DATE_INVALID
LN101401,2023-11,STALE_UPDATE
LN102770,2025-08,DUPLICATE_RECORD
LN102622,2024-03,DOC_GAP
LN100213,2024-11,DATE_INVALID
LN106464,2022-12,DATE_INVALID
LN108237,2024-06,STATUS_INCONSISTENT
LN106108,2024-03,STALE_UPDATE
LN103293,2022-10,STATUS_INCONSISTENT
LN103609,2025-02,STALE_UPDATE
LN107333,2025-06,BALANCE_MISMATCH
LN102617,2023-07,DOC_GAP
LN108740,2021-08,STATUS_INCONSISTENT
LN107509,2024-10,BALANCE_MISMATCH
LN102090,2025-11,DOC_GAP
LN104481,2023-04,STATUS_INCONSISTENT
LN104441,2024-04,BALANCE_MISMATCH
LN102278,2022-11,STATUS_INCONSISTENT
LN104633,2025-01,STALE_UPDATE
LN102440,2024-10,DUPLICATE_RECORD
LN102252,2024-05,STALE_UPDATE
LN101072,2024-07,BALANCE_MISMATCH
LN108998,2022-08,DUPLICATE_RECORD
LN103582,2022-08,STATUS_INCONSISTENT
LN107805,2024-11,STATUS_INCONSISTENT
LN101174,2023-03,BALANCE_MISMATCH
LN102515,2024-07,STALE_UPDATE
LN100882,2025-08,BALANCE_MISMATCH
LN106616,2023-08,BALANCE_MISMATCH
LN107013,2024-05,STATUS_INCONSISTENT
LN108136,2025-07,STALE_UPDATE
LN101621,2024-03,STATUS_INCONSISTENT
LN105325,2024-12,DOC_GAP
LN102372,2025-09,DATE_INVALID
LN101477,2024-09,BALANCE_MISMATCH
LN107362,2023-03,DATE_INVALID
LN101573,2025-08,DATE_INVALID
LN101455,2024-11,STATUS_INCONSISTENT
LN101030,2023-08,DOC_GAP
LN105095,2024-03,BALANCE_MISMATCH
LN108993,2024-06,STATUS_INCONSISTENT
LN107574,2024-04,STATUS_INCONSISTENT
LN104977,2024-02,STALE_UPDATE
LN105898,2023-11,DATE_INVALID
LN102709,2025-03,STATUS_INCONSISTENT
LN104314,2025-06,STATUS_INCONSISTENT
LN100500,2022-03,DOC_GAP
LN108644,2022-10,BALANCE_MISMATCH
LN106312,2022-04,DUPLICATE_RECORD
LN102580,2023-07,BALANCE_MISMATCH
LN106088,2023-12,BALANCE_MISMATCH
LN106834,2025-07,BALANCE_MISMATCH
LN102915,2023-08,BALANCE_MISMATCH
LN103001,2024-04,DUPLICATE_RECORD
LN107544,2024-05,STATUS_INCONSISTENT
LN108589,2024-06,DOC_GAP
LN104229,2024-01,STALE_UPDATE
LN108877,2025-01,STATUS_INCONSISTENT
LN108517,2025-08,BALANCE_MISMATCH
LN108743,2024-07,DATE_INVALID
LN107333,2024-01,BALANCE_MISMATCH
LN108426,2023-02,DATE_INVALID
LN103657,2025-08,STALE_UPDATE
LN104512,2022-07,DATE_INVALID
LN104176,2023-03,STALE_UPDATE
LN103160,2021-11,BALANCE_MISMATCH
LN105905,2025-06,STATUS_INCONSISTENT
LN101828,2025-10,DUPLICATE_RECORD
LN100616,2022-07,BALANCE_MISMATCH
LN107405,2025-09,BALANCE_MISMATCH
LN103107,2023-11,BALANCE_MISMATCH
LN102686,2024-04,STATUS_INCONSISTENT
LN101237,2025-03,DUPLICATE_RECORD
LN105450,2022-10,STALE_UPDATE
LN100414,2023-09,DOC_GAP
LN104836,2025-10,DATE_INVALID
LN104498,2025-07,BALANCE_MISMATCH
LN106850,2022-10,DATE_INVALID
LN104832,2024-02,DUPLICATE_RECORD
LN102742,2025-10,DATE_INVALID
LN105939,2024-04,DOC_GAP
LN106062,2023-05,BALANCE_MISMATCH
LN106898,2025-03,STATUS_INCONSISTENT
LN103610,2023-06,STATUS_INCONSISTENT
LN107664,2024-11,DATE_INVALID
LN108386,2024-07,DATE_INVALID
LN104470,2025-12,STALE_UPDATE
LN101587,2022-09,BALANCE_MISMATCH
LN101014,2024-12,DOC_GAP
LN101977,2023-12,STATUS_INCONSISTENT
LN103184,2025-11,DATE_INVALID
LN107001,2023-10,DATE_INVALID
LN107931,2024-02,BALANCE_MISMATCH
LN106202,2023-03,DOC_GAP
LN102340,2025-02,BALANCE_MISMATCH
LN102195,2024-08,BALANCE_MISMATCH
LN102144,2023-02,DATE_INVALID
LN105612,2025-03,BALANCE_MISMATCH
LN101842,2024-11,DOC_GAP
LN105533,2024-10,DOC_GAP
LN102793,2023-06,DATE_INVALID
LN102698,2025-12,STATUS_INCONSISTENT
LN107366,2025-06,DATE_INVALID
LN100511,2024-09,STATUS_INCONSISTENT
LN107719,2025-10,STALE_UPDATE
LN104490,2023-01,STATUS_INCONSISTENT
LN102678,2023-12,DUPLICATE_RECORD
LN104185,2024-08,DOC_GAP
LN101389,2024-09,DOC_GAP
LN102681,2022-04,STALE_UPDATE
LN108167,2023-06,STATUS_INCONSISTENT
LN103655,2024-06,DUPLICATE_RECORD
LN104078,2023-06,DOC_GAP
LN105116,2025-06,STATUS_INCONSISTENT
LN103187,2024-11,DOC_GAP
LN100573,2024-01,STATUS_INCONSISTENT
LN103816,2025-11,BALANCE_MISMATCH
LN102290,2024-08,STATUS_INCONSISTENT
LN108740,2023-05,STATUS_INCONSISTENT
LN108924,2025-11,BALANCE_MISMATCH
LN102520,2023-03,BALANCE_MISMATCH
LN108686,2024-10,DOC_GAP
LN100626,2023-06,DATE_INVALID
LN108698,2023-09,BALANCE_MISMATCH
LN100497,2023-07,BALANCE_MISMATCH
LN101366,2024-11,STATUS_INCONSISTENT
