loan_id,update_month,is_true_conflict
LN101974,2025-07,0
LN104247,2022-06,0
LN100732,2024-12,1
LN105997,2025-10,0
LN105655,2024-09,0
LN101509,2025-11,1
LN104873,2024-09,1
LN106010,2023-05,0
LN106056,2025-01,0
LN100016,2024-12,0
LN101850,2024-09,0
LN106687,2025-07,0
LN108427,2022-01,0
LN107628,2024-05,1
LN105917,2025-09,1
LN108413,2025-02,0
LN100885,2024-11,0
LN104854,2024-04,0
LN106710,2025-02,1
LN105677,2024-03,1
LN104705,2024-08,0
LN108096,2025-08,0
LN108997,2024-07,0
LN105072,2024-10,1
LN107217,2022-06,1
LN107135,2024-07,1
LN106834,2024-01,0
LN106715,2025-10,0
LN100605,2025-04,0
LN108315,2023-06,1
LN103418,2021-12,1
LN100278,2023-11,0
LN105904,2023-12,0
LN107126,2024-12,1
LN100958,2025-03,1
LN104177,2025-01,0
LN105161,2025-07,0
LN100205,2022-07,0
LN105102,2024-09,0
LN107090,2024-04,1
LN104175,2022-10,0
LN100831,2023-02,0
LN101904,2024-06,1
LN108393,2025-03,1
LN108195,2024-03,0
LN104574,2024-07,0
LN101194,2024-07,0
LN107708,2025-11,1
LN104525,2024-11,1
LN102956,2022-07,0
LN102006,2024-11,0
LN108292,2022-03,0
LN101476,2024-06,0
LN102213,2022-07,0
LN100227,2024-11,0
LN100152,2024-10,0
LN105812,2023-12,0
LN106009,2022-01,0
LN104747,2024-07,1
LN102776,2023-07,0
LN103600,2023-07,0
LN104643,2024-03,0
LN100402,2022-11,0
LN108653,2023-03,0
LN101187,2023-12,0
LN102082,2022-12,0
LN100128,2023-08,0
LN105536,2021-12,0
LN103453,2025-05,0
LN108484,2023-12,0
LN106449,2024-04,0
LN106084,2024-02,1
LN108223,2025-11,0
LN104921,2025-11,1
LN100453,2021-08,0
LN106645,2025-01,1
LN106307,2022-03,0
LN104931,2025-04,1
LN107611,2025-04,0
LN100088,2024-12,0
LN105119,2022-04,1
LN104302,2022-11,1
LN102409,2021-10,1
LN101886,2024-08,0
LN103819,2025-04,1
LN101203,2024-07,0
LN101905,2024-03,0
LN108657,2025-06,0
LN103892,2024-03,1
LN101488,2025-04,1
LN101857,2024-02,0
LN104079,2025-11,0
LN101214,2022-11,0
LN108344,2022-12,0
LN108631,2024-01,1
LN101759,2023-12,0
LN102467,2025-04,0
LN101806,2022-04,1
LN107586,2025-02,0
LN100071,2024-03,0
LN106582,2025-08,0
LN103841,2024-07,1
LN106048,2024-04,0
LN105849,2021-11,1
LN102979,2025-02,1
LN102797,2023-11,1
LN108790,2025-01,0
LN106081,2023-05,0
LN104653,2024-06,0
LN103114,2025-08,1
LN101873,2024-12,0
LN107853,2025-03,0
LN101491,2024-08,0
LN106147,2024-11,1
LN102025,2023-06,0
LN104267,2025-06,0
LN102764,2025-09,1
LN105439,2025-10,1
LN105357,2024-12,0
LN100182,2024-07,0
LN106198,2022-09,0
LN106536,2022-09,1
LN102223,2025-10,0
LN100241,2024-04,0
LN104014,2023-08,0
LN103876,2023-12,1
LN104867,2024-11,0
LN102030,2024-08,1
LN105589,2024-08,1
LN106625,2024-12,0
LN100693,2024-11,0
LN108062,2023-11,0
LN102277,2022-03,1
LN107156,2024-06,0
LN100620,2024-11,1
LN102521,2023-10,0
LN100242,2024-10,0
LN107840,2023-08,0
LN106239,2023-06,1
LN104115,2025-08,1
LN106241,2024-09,1
LN106377,2023-07,0
LN103466,2024-08,0
LN103621,2025-12,1
LN107699,2022-10,0
LN108488,2025-08,0
LN101584,2024-05,0
LN105786,2024-08,0
LN104349,2024-01,0
LN103120,2024-01,0
LN106578,2025-11,0
LN105212,2025-08,0
LN101964,2025-06,0
LN102427,2023-05,0
LN108119,2024-04,0
LN101381,2024-10,0
LN102890,2023-01,0
LN104978,2025-09,0
LN105470,2025-03,0
LN104658,2024-06,1
LN106869,2022-07,0
LN103638,2022-04,0
LN106509,2021-11,1
LN105984,2024-04,0
LN101575,2025-05,0
LN100283,2023-05,1
LN100044,2022-10,0
LN105788,2024-08,0
LN104757,2022-03,0
LN104726,2025-02,1
LN102521,2024-05,0
LN108861,2023-02,1
LN102418,2023-10,0
LN102760,2023-12,0
LN106125,2023-07,0
LN100366,2023-11,0
LN101627,2024-06,0
LN107135,2025-05,1
LN104642,2025-01,0
LN102267,2024-02,1
LN108454,2025-05,1
LN103389,2024-09,0
LN106412,2023-01,0
LN106707,2025-01,0
LN106997,2023-12,1
LN106140,2024-04,0
LN104321,2024-09,0
LN105620,2025-06,0
LN102071,2025-08,0
LN106670,2022-05,1
LN103915,2025-05,0
LN100707,2024-11,0
LN102025,2024-09,1
LN100945,2022-10,0
LN106768,2023-04,0
LN100817,2022-06,0
LN106127,2025-12,1
LN104240,2024-07,1
LN101067,2025-03,1
LN100504,2024-02,1
LN103483,2024-02,0
LN108406,2025-10,0
LN102637,2025-03,1
LN101609,2023-01,0
LN107671,2025-09,1
LN101189,2024-01,0
LN105795,2023-10,1
LN107220,2023-08,1
LN100629,2025-11,0
LN108258,2025-06,0
LN105278,2023-05,0
LN107747,2025-05,0
LN102762,2025-08,0
LN103162,2022-12,0
LN105282,2024-06,1
LN100171,2022-07,0
LN108873,2024-07,0
LN100689,2025-03,0
LN105190,2024-01,1
LN100811,2025-08,1
LN100626,2023-09,0
LN105238,2025-03,1
LN106822,2025-03,0
LN103642,2025-12,0
LN108476,2023-11,1
LN100560,2024-08,1
LN106239,2023-12,0
LN107723,2025-10,0
LN104552,2024-12,0
LN102953,2024-06,1
LN105329,2025-06,0
LN107103,2025-04,0
LN100253,2024-01,0
LN100167,2023-03,0
LN106789,2024-04,0
LN105628,2024-03,1
LN108673,2024-11,1
LN104059,2024-10,0
LN101111,2024-01,1
LN102411,2023-05,0
LN103022,2022-12,0
LN101459,2025-09,1
LN107789,2024-10,0
LN105682,2023-05,1
LN101351,2023-02,0
LN106267,2021-08,0
LN108882,2022-06,0
LN101472,2024-04,0
LN108867,2023-08,0
LN104460,2025-01,1
LN102115,2025-01,0
LN101659,2025-11,1
LN104914,2025-03,0
LN100798,2024-10,1
LN107423,2025-11,1
LN108687,2023-05,0
LN106841,2024-10,0
LN108352,2025-07,0
LN104906,2023-06,1
LN108806,2023-10,0
LN107636,2022-11,0
LN100181,2025-01,0
LN107407,2024-01,0
LN102921,2025-04,0
LN108068,2025-04,0
LN102025,2023-09,0
LN108751,2022-07,1
LN105988,2025-04,0
LN101251,2022-12,1
LN100334,2024-07,0
LN102365,2023-12,0
LN107351,2025-12,1
LN105977,2024-06,0
LN102868,2025-12,1
LN108840,2024-01,0
LN107644,2022-06,0
LN105377,2022-06,1
LN101306,2022-09,0
LN100310,2025-09,0
LN103007,2024-07,0
LN100558,2025-10,0
LN105374,2024-06,0
LN101638,2025-12,1
LN101534,2025-10,0
LN100901,2023-09,0
LN102184,2023-10,1
LN106602,2025-03,1
LN104952,2025-09,0
LN107528,2025-08,0
LN108911,2024-01,1
LN102491,2023-11,1
LN107071,2024-04,1
LN106170,2024-01,1
LN107936,2023-07,0
LN101273,2024-09,0
LN100662,2021-11,1
LN100792,2024-08,0
LN107991,2023-02,0
LN100274,2023-02,0
LN102863,2024-05,0
LN101996,2024-09,1
LN101746,2025-07,1
LN107373,2024-08,0
LN104607,2023-10,0
LN100045,2025-02,1
LN104812,2024-03,1
LN104350,2025-08,1
LN102680,2022-02,0
LN107127,2022-04,1
LN104900,2025-04,0
LN107631,2025-06,0
LN102963,2024-03,1
LN105346,2023-05,1
LN101823,2025-05,0
LN108965,2025-09,0
LN102478,2024-08,0
LN103394,2023-10,0
LN103068,2023-11,1
LN100239,2025-02,1
LN103877,2023-11,0
LN101449,2023-03,1
LN103779,2024-10,0
LN100883,2023-05,0
LN102384,2025-06,0
LN102439,2021-09,0
LN108721,2024-07,0
LN107359,2022-01,0
LN103887,2025-11,1
LN105214,2024-10,0
LN104368,2025-02,1
LN105994,2024-12,0
LN101123,2025-07,1
LN108598,2024-08,1
LN102230,2025-01,0
LN106437,2022-08,0
LN106284,2025-11,0
LN101525,2024-03,1
LN103752,2025-05,0
LN108375,2025-12,0
LN102138,2024-12,0
LN101326,2025-04,0
LN102455,2024-11,0
LN102399,2024-03,0
LN102351,2025-04,1
LN108240,2024-04,1
LN106124,2024-01,0
LN106418,2025-01,0
LN103362,2023-02,0
LN103915,2023-07,0
LN100020,2023-05,0
LN100176,2024-09,1
LN104405,2024-12,0
LN108827,2024-11,0
LN106885,2024-03,1
LN108603,2024-05,0
LN108091,2024-06,1
LN104440,2025-02,1
LN107004,2023-06,0
LN104724,2025-03,0
LN101614,2021-12,0
LN101427,2025-12,1
LN107238,2025-10,0
LN100010,2025-09,0
LN103866,2024-07,1
LN102933,2024-11,0
LN101179,2021-11,0
LN101206,2024-01,0
LN108306,2023-12,0
LN103871,2024-04,0
LN104445,2024-03,1
LN105749,2022-07,1
LN102266,2025-11,0
LN107076,2024-10,0
LN102144,2022-10,0
LN101786,2022-08,1
LN107598,2024-02,0
LN101046,2022-12,1
LN102290,2024-11,0
LN103385,2022-06,1
LN103069,2021-12,0
LN103794,2025-01,0
LN104831,2022-09,1
LN101819,2022-11,1
LN106524,2022-09,0
LN105992,2025-06,1
LN100644,2025-04,0
LN104880,2024-07,0
LN108995,2024-11,0
LN104803,2024-12,0
LN107848,2022-09,1
LN105904,2023-01,0
LN108172,2024-11,0
LN107710,2024-10,0
LN104880,2023-04,0
LN107106,2022-09,0
LN107271,2024-03,0
LN100741,2024-04,0
LN101342,2022-09,1
LN102055,2023-09,0
LN102745,2024-07,0
LN107882,2025-09,0
LN100775,2025-02,1
LN107410,2023-01,0
LN106131,2025-03,0
LN107123,2024-08,1
LN106029,2023-03,0
LN108997,2025-09,0
LN106729,2024-02,0
LN104913,2024-06,1
LN102045,2025-03,0
LN105183,2025-03,1
LN108248,2024-10,0
LN108793,2025-09,0
LN107153,2025-03,0
LN104484,2024-12,1
LN103627,2024-09,0
LN106761,2024-08,0
LN101525,2023-06,0
LN106660,2024-05,1
LN101027,2023-08,0
LN104114,2023-10,0
LN104166,2023-02,0
LN102664,2023-01,1
LN108178,2024-12,0
LN101078,2023-01,0
LN106559,2022-09,0
LN106288,2024-10,0
LN104228,2024-12,0
LN104506,2025-01,1
LN105376,2024-11,0
LN106413,2025-07,1
LN107199,2024-05,0
LN108966,2024-07,0
LN103829,2022-09,0
LN102747,2024-12,0
LN101522,2025-08,0
LN106457,2024-10,0
LN103826,2022-10,0
LN100501,2025-04,0
LN103771,2025-09,1
LN107109,2024-11,1
LN106733,2025-06,0
LN105558,2024-02,0
LN108976,2024-12,1
LN100439,2023-04,0
LN100846,2023-04,1
LN107723,2022-08,0
LN105794,2024-06,0
LN105771,2024-06,0
LN107670,2024-01,0
LN104150,2023-02,0
LN102766,2025-01,0
LN107569,2025-08,1
LN102360,2024-08,1
LN100248,2025-04,1
LN108328,2022-03,0
LN106123,2024-10,0
LN102853,2025-07,1
LN104035,2024-12,0
LN107809,2024-11,1
LN102582,2023-12,0
LN103164,2022-11,1
LN101610,2025-04,0
LN108704,2024-07,0
LN105928,2025-12,1
LN100934,2023-11,0
LN101130,2024-06,1
LN106760,2022-08,0
LN101990,2023-10,0
LN105985,2023-11,0
LN102956,2025-08,1
LN104085,2023-11,1
LN106629,2023-04,0
LN101878,2025-04,0
LN103364,2022-04,1
LN101239,2021-11,1
LN103910,2022-07,0
LN101461,2022-12,0
LN103641,2025-07,1
LN106663,2023-09,0
LN108402,2021-11,1
LN107494,2024-08,0
LN107933,2024-06,0
LN100032,2022-04,0
LN102947,2023-07,0
LN106173,2022-05,1
LN106105,2025-11,1
LN105318,2025-05,0
LN103582,2025-02,1
LN101461,2024-09,1
LN101122,2024-05,0
LN106194,2023-04,0
LN106581,2023-10,0
LN104408,2023-03,0
LN104069,2024-05,1
LN104865,2024-12,0
LN102842,2025-09,1
LN101566,2025-01,0
LN106284,2024-02,1
LN103093,2024-07,0
LN105831,2023-03,0
LN106474,2025-06,0
LN103157,2025-02,0
LN108424,2024-08,0
LN104251,2025-01,0
LN105994,2025-10,1
LN105469,2022-11,0
LN101453,2024-07,0
LN102415,2024-06,0
LN101987,2024-08,0
LN107370,2024-06,0
LN103026,2022-08,0
LN102407,2023-12,0
LN104298,2025-07,0
LN103256,2022-03,0
LN100436,2025-07,0
LN100923,2024-01,0
LN103359,2024-06,0
LN104941,2025-11,1
LN106236,2025-11,0
LN108738,2024-06,1
LN104591,2021-10,0
LN100497,2024-01,0
LN103052,2024-02,1
LN106278,2021-11,0
LN102544,2024-11,0
LN106429,2024-06,0
LN103975,2025-10,1
LN101623,2023-04,1
LN106094,2025-07,1
LN107269,2024-02,0
LN105629,2021-12,0
LN104957,2023-03,0
LN103769,2023-07,0
LN103308,2023-05,0
LN105295,2024-06,0
LN100385,2022-02,0
LN100376,2025-01,0
LN102771,2024-05,0
LN103230,2024-11,1
LN107116,2024-06,1
LN100548,2025-02,1
LN106255,2025-12,0
LN108415,2023-11,0
LN102421,2025-08,1
LN102734,2025-08,0
LN106201,2024-12,0
LN104233,2023-01,0
LN103063,2022-09,0
LN108672,2025-01,1
LN100261,2023-09,0
LN103463,2025-03,1
LN100375,2024-01,1
LN107988,2025-04,0
LN105280,2025-12,0
LN107998,2023-07,0
LN104409,2023-03,0
LN101533,2025-01,1
LN108128,2025-09,0
LN105865,2023-12,0
LN104312,2024-08,1
LN105470,2025-02,0
LN102561,2025-01,0
LN101462,2023-02,0
LN102252,2023-02,0
LN108925,2023-10,0
LN107983,2024-08,1
LN107180,2024-03,0
LN103117,2024-05,0
LN100891,2025-12,0
LN100798,2023-06,0
LN105514,2023-09,1
LN108291,2023-03,1
LN103670,2024-01,0
LN101486,2023-01,1
LN108107,2025-05,0
LN101383,2025-06,0
LN102635,2025-10,1
LN102352,2024-04,0
LN106977,2024-06,0
LN106518,2022-03,0
LN107394,2023-07,1
LN105728,2024-10,0
LN107097,2024-12,0
LN101987,2022-06,1
LN107614,2025-05,0
LN108167,2025-08,0
LN105849,2023-12,1
LN108182,2024-08,0
LN102697,2025-09,1
LN101951,2024-09,0
LN101591,2025-03,0
LN108917,2025-07,0
LN104759,2024-11,0
LN105665,2023-09,1
LN104690,2022-06,0
LN104193,2024-11,1
LN101154,2023-08,0
LN106670,2025-06,0
LN108745,2024-07,1
LN100690,2025-08,0
LN103049,2023-12,1
LN102031,2022-06,1
LN107488,2021-12,0
LN104461,2024-10,0
LN105876,2025-11,0
LN104398,2023-10,1
LN103081,2025-09,1
LN103051,2023-10,0
LN104643,2022-06,0
LN104159,2025-02,0
LN101416,2025-10,0
LN103908,2024-01,0
LN100038,2025-12,0
LN100907,2023-01,0
LN104912,2022-07,0
LN108329,2024-09,1
LN108500,2023-07,1
LN108355,2025-09,0
LN102731,2025-11,0
LN106561,2024-01,1
LN105995,2023-09,0
LN102233,2022-11,1
LN106421,2023-04,0
LN105319,2023-08,1
LN101267,2025-02,0
LN107720,2024-01,0
LN105296,2022-03,0
LN101419,2023-09,0
LN103631,2023-10,0
LN105764,2022-12,0
LN100279,2025-02,0
LN103482,2025-07,0
LN108228,2024-09,0
LN108784,2025-06,0
LN100742,2024-04,0
LN105920,2022-08,0
LN102561,2023-08,1
LN103781,2022-05,0
LN103734,2024-03,0
LN107409,2024-05,0
LN100703,2024-02,0
LN104074,2023-03,0
LN101106,2022-08,1
LN102437,2024-06,1
LN104705,2023-11,0
LN108797,2025-03,0
LN105627,2022-04,0
LN105314,2023-02,0
LN107400,2024-11,1
LN106588,2024-12,0
LN105658,2023-07,0
LN102077,2025-05,0
LN104817,2024-05,0
LN100258,2023-03,0
LN101729,2022-11,0
LN102353,2024-05,1
LN103368,2025-06,0
LN104159,2024-10,0
LN106576,2023-03,0
LN101350,2021-10,0
LN106563,2025-02,0
LN106081,2024-02,0
LN100912,2025-07,0
LN107274,2021-11,0
LN104325,2024-12,0
LN108553,2024-01,1
LN103976,2024-01,0
LN104338,2024-03,1
LN107747,2022-08,0
LN108114,2022-09,1
LN102040,2023-07,1
LN103302,2024-01,0
LN108445,2022-12,0
LN105271,2023-12,0
LN104937,2024-06,0
LN108070,2025-10,1
LN107982,2024-08,0
LN107961,2022-11,0
LN101476,2023-12,1
LN103537,2023-01,0
LN100974,2023-09,0
LN102736,2023-12,0
LN106081,2024-05,0
LN100153,2024-07,0
LN108303,2024-02,1
LN100713,2024-05,0
LN105625,2025-05,1
LN104699,2022-06,1
LN107821,2024-07,1
LN100827,2025-02,0
LN101475,2023-10,0
LN103566,2025-10,0
LN103958,2023-08,0
LN106614,2023-12,0
LN107685,2025-09,1
LN101380,2025-10,0
LN103826,2023-12,0
LN107795,2024-09,0
LN100520,2025-05,1
LN105990,2024-03,0
LN107456,2023-08,1
LN102245,2025-04,1
LN105157,2025-11,1
LN106743,2022-07,0
LN102605,2024-12,0
LN106835,2025-04,1
LN104443,2024-05,1
LN103248,2025-11,1
LN103735,2025-01,0
LN102051,2023-01,0
LN104681,2023-09,0
LN104940,2025-12,0
LN103679,2025-06,0
LN101052,2024-08,0
LN101941,2022-07,0
LN103446,2024-04,0
LN107982,2025-01,1
LN108097,2023-11,1
LN102733,2024-11,1
LN108273,2024-12,0
LN105300,2022-08,0
LN102307,2022-06,0
LN105295,2024-09,1
LN100123,2023-05,0
LN102674,2025-08,1
LN103645,2024-02,0
LN101177,2025-03,0
LN106824,2025-02,1
LN104446,2023-07,0
LN107966,2022-05,0
LN101101,2024-12,1
LN102314,2023-08,0
LN105002,2025-09,0
LN100179,2023-06,0
LN101982,2023-05,1
LN108015,2023-10,0
LN106245,2025-08,0
LN106434,2023-10,0
LN105925,2022-07,0
LN107923,2022-07,0
LN106633,2024-02,0
LN101841,2024-05,1
LN107634,2024-11,0
LN100513,2025-01,1
LN108173,2023-09,1
LN100370,2023-02,0
LN102780,2023-01,1
LN105896,2025-01,0
LN102936,2024-09,0
LN108840,2022-09,0
LN101261,2025-05,0
LN106439,2025-04,1
LN103523,2024-01,0
LN103789,2024-06,1
LN106355,2023-07,0
LN101410,2023-09,1
LN106456,2024-10,0
LN101580,2025-10,1
LN106548,2025-10,1
LN100855,2024-08,0
LN101016,2025-01,0
LN108969,2025-11,0
LN101199,2024-07,1
LN101509,2025-06,0
LN100734,2025-04,0
LN101838,2022-11,0
LN108545,2024-04,0
LN104223,2024-11,0
LN106492,2024-03,0
LN108807,2023-04,0
LN104264,2023-11,0
LN108324,2025-02,1
LN107369,2022-09,0
LN106620,2024-02,0
LN101285,2024-09,0
LN101969,2025-04,0
LN100352,2023-11,0
LN104276,2025-01,0
LN101815,2022-03,0
LN101755,2024-11,0
LN107328,2024-02,0
LN100293,2023-04,0
LN107003,2024-03,0
LN103579,2023-06,1
LN102190,2022-12,0
LN102649,2022-08,1
LN101341,2023-02,0
LN107420,2025-03,0
LN106419,2021-11,0
LN107404,2022-12,1
LN106161,2022-08,0
LN107734,2024-11,0
LN101510,2022-11,0
LN107130,2023-05,0
LN107756,2023-12,1
LN108861,2022-07,0
LN103271,2023-08,0
LN108154,2024-09,1
LN104778,2023-08,0
LN102910,2022-07,0
LN105928,2025-04,0
LN107258,2024-10,0
LN107168,2024-12,0
LN100493,2025-04,0
LN106122,2024-12,0
LN105679,2025-01,0
LN100667,2024-09,0
LN103724,2022-02,0
LN105264,2025-10,0
LN108368,2025-08,1
LN101679,2024-07,0
LN103646,2025-11,0
LN101351,2022-12,0
LN103232,2025-11,0
LN106502,2023-04,0
LN103223,2024-11,0
LN106060,2024-03,1
LN106843,2024-04,0
LN106742,2023-07,0
LN100683,2025-11,0
LN104863,2024-11,0
LN106200,2025-06,0
LN105984,2025-07,0
LN108937,2025-11,1
LN101221,2023-08,0
LN107646,2025-07,0
LN106737,2024-06,1
LN107717,2025-12,0
LN105110,2023-10,0
LN104440,2025-07,1
LN100412,2023-12,0
LN101806,2022-12,0
LN101004,2023-12,1
LN103857,2023-02,0
LN100158,2024-09,0
LN107455,2022-06,0
LN100946,2025-05,1
LN101955,2023-04,0
LN103962,2024-09,0
LN102569,2025-01,0
LN101188,2023-09,0
LN103834,2022-12,0
LN108043,2023-01,1
LN108416,2025-01,0
LN101161,2023-10,0
LN108918,2025-05,1
LN106700,2024-12,1
LN100661,2024-11,0
LN100788,2024-07,0
LN107316,2025-04,0
LN103340,2025-04,0
LN100221,2023-07,0
LN107933,2024-03,0
LN103043,2025-02,0
LN108931,2023-12,1
LN106019,2024-11,0
LN105179,2023-08,0
LN108846,2022-05,0
LN101134,2024-10,0
LN108002,2024-12,0
LN103506,2025-01,0
LN107616,2023-08,0
LN108276,2025-10,1
LN103010,2024-07,0
LN106264,2023-05,0
LN104625,2025-02,1
LN103164,2023-04,1
LN101068,2025-09,0
LN106465,2025-02,0
LN100029,2024-10,1
LN100611,2023-08,1
LN102992,2025-09,1
LN104765,2024-05,1
LN101910,2025-08,1
LN108672,2024-10,0
LN104390,2023-06,1
LN108720,2024-06,0
LN107057,2025-06,0
LN102711,2025-02,0
LN108314,2022-04,0
LN107074,2025-07,0
LN103607,2024-08,0
LN101381,2025-01,0
LN101170,2023-10,0
LN106585,2024-11,1
LN106360,2025-02,0
LN102249,2024-04,1
LN102860,2023-09,0
LN107472,2023-12,0
LN103207,2024-11,0
LN107661,2025-09,0
LN100719,2024-05,0
LN103585,2023-01,0
LN104728,2025-04,1
LN105361,2024-06,1
LN104035,2025-09,1
LN107491,2024-01,0
LN100720,2025-11,0
LN106069,2025-02,0
LN108808,2025-11,0
LN107344,2025-01,0
LN108020,2025-03,0
LN106292,2025-04,1
LN106539,2023-04,0
LN105734,2025-06,0
LN107159,2023-06,0
LN104053,2024-09,1
LN100830,2024-06,0
LN101115,2025-05,0
LN108107,2025-10,0
LN104632,2023-02,0
LN105883,2024-06,0
LN105922,2025-02,0
LN107373,2023-01,0
LN101804,2023-12,0
LN107230,2025-07,1
LN108433,2024-02,0
LN104634,2022-02,1
LN105796,2024-10,0
LN105729,2023-04,0
LN102771,2021-08,0
LN101648,2025-10,1
LN102417,2023-06,0
LN101031,2022-02,0
LN102182,2025-10,0
LN103301,2023-06,1
LN103849,2023-07,0
LN104517,2022-11,0
LN108389,2023-11,1
LN105067,2021-09,0
LN102781,2024-11,0
LN104128,2024-02,1
LN103328,2025-08,1
LN100147,2022-10,0
LN103212,2024-09,1
LN104747,2025-09,0
LN103694,2023-04,1
LN101336,2025-05,0
LN108910,2024-12,0
LN101060,2024-12,0
LN106087,2023-04,0
LN108082,2023-05,0
LN101665,2025-12,1
LN108294,2025-01,0
LN104776,2023-10,1
LN104900,2024-01,1
LN106433,2025-10,1
LN101595,2022-02,0
LN100310,2025-06,0
LN105740,2024-06,0
LN102592,2025-01,0
LN108005,2024-10,0
LN101423,2024-11,0
LN107004,2022-12,0
LN104193,2022-03,0
LN108416,2023-06,0
LN100684,2023-09,1
LN102214,2024-11,0
LN103114,2024-05,1
LN103524,2025-07,0
LN105754,2022-02,0
LN105663,2023-01,0
LN108010,2025-01,0
LN103093,2024-05,0
LN107987,2025-12,0
LN107198,2024-01,1
LN107151,2024-01,1
LN101282,2024-10,1
LN100773,2024-02,0
LN108027,2023-04,0
LN100002,2024-05,1
LN104498,2025-10,0
LN104623,2023-12,1
LN107990,2023-04,0
LN105415,2025-04,0
LN107634,2023-08,0
LN102967,2025-03,1
LN100213,2024-10,0
LN106510,2024-12,1
LN105584,2024-01,0
LN101371,2023-02,0
LN108739,2025-10,0
LN104339,2023-12,1
LN104731,2024-07,0
LN103947,2024-10,1
LN104571,2025-05,0
LN101238,2025-02,0
LN104687,2024-02,0
LN105761,2023-05,0
LN108855,2022-07,0
LN107086,2024-06,0
LN106880,2022-11,0
LN100649,2024-09,0
LN105859,2024-04,1
LN108578,2025-06,0
LN107628,2025-05,0
LN106536,2025-03,0
LN104696,2022-06,0
LN101269,2021-11,0
LN108803,2024-02,0
LN106448,2022-11,1
LN107376,2025-02,0
LN101778,2024-10,0
LN105925,2025-10,0
LN105164,2023-02,0
LN107582,2023-12,0
LN106627,2025-04,0
LN100264,2024-12,0
LN105440,2023-08,1
LN106860,2024-07,0
LN103627,2025-08,0
LN107800,2025-09,0
LN105100,2024-12,0
LN102922,2023-03,0
LN107608,2025-06,0
