loan_id,reporting_month,prob_default_12m,actual,trust_score,top_drivers
LN102697,2024-12,0.0076,1,1.0,credit_score_band=780+ (-0.714); loan_age_months=24 (+0.051); pct_term_elapsed=0.06666666666666667 (+0.047); rate_spread_vs_month=-0.7344601509530513 (+0.031); interest_rate=5.038 (+0.028)
LN102742,2024-08,0.5764,0,1.0,is_delinq_now=1 (+0.750); pct_term_elapsed=0.044444444444444446 (+0.074); credit_score_band=740-779 (+0.062); log_original_balance=11.923709734555993 (+0.057); balance_ratio=0.9853311671087533 (+0.032)
LN103681,2024-07,0.5764,0,1.0,is_delinq_now=1 (+0.848); rate_spread_vs_month=-1.8812638500279792 (+0.091); pct_term_elapsed=0.09722222222222222 (+0.086); occupancy_type=SECOND_HOME (-0.042); interest_rate=3.75 (-0.038)
LN103857,2024-11,0.0076,1,0.37,pct_term_elapsed=0.0 (-0.180); state=CA (-0.108); loan_age_months=0 (-0.067); credit_score_band=620-679 (+0.048); log_original_balance=11.863582336583399 (-0.037)
LN104617,2024-08,0.0076,1,1.0,credit_score_band=740-779 (-0.242); log_original_balance=12.218001216395448 (-0.101); ltv_band=>95 (+0.098); occupancy_type=SECOND_HOME (-0.089); rate_spread_vs_month=0.3413210301611356 (-0.058)
LN105275,2024-11,0.5764,1,1.0,is_delinq_now=1 (+0.608); credit_score_band=620-679 (+0.146); loan_age_months=32 (+0.063); pct_term_elapsed=0.08888888888888889 (+0.059); log_original_balance=12.558839964637889 (+0.031)
LN105314,2024-09,0.7692,1,0.64,is_delinq_now=1 (+0.984); credit_score_band=780+ (-0.318); state=TX (+0.119); dti_band=35-43 (+0.093); pct_term_elapsed=0.058333333333333334 (+0.079)
LN105737,2024-10,0.0076,1,1.0,loan_age_months=0 (-0.207); pct_term_elapsed=0.0 (-0.189); credit_score_band=620-679 (+0.164); state=FL (-0.107); interest_rate=6.639 (+0.033)
LN105850,2024-12,0.5764,0,1.0,is_delinq_now=1 (+0.665); credit_score_band=680-739 (+0.141); pct_term_elapsed=0.09444444444444444 (+0.096); loan_age_months=34 (+0.062); interest_rate=4.771 (+0.041)
LN105851,2024-07,0.5764,0,1.0,is_delinq_now=1 (+0.661); credit_score_band=680-739 (+0.156); pct_term_elapsed=0.03333333333333333 (+0.061); interest_rate=6.314 (+0.048); loan_age_months=12 (+0.046)
LN106829,2024-08,0.7692,1,1.0,is_delinq_now=1 (+0.973); credit_score_band=780+ (-0.337); state=TX (+0.114); pct_term_elapsed=0.06944444444444445 (+0.111); dti_band=35-43 (+0.088)
LN107146,2024-12,0.5764,0,0.64,is_delinq_now=1 (+0.857); credit_score_band=680-739 (+0.134); loan_purpose=CASHOUT_REFI (-0.074); pct_term_elapsed=0.022222222222222223 (+0.054); ltv_band=85-95 (+0.033)
LN107309,2024-07,0.0076,1,1.0,credit_score_band=780+ (-0.518); dti_band=20-35 (-0.071); loan_purpose=CASHOUT_REFI (-0.063); loan_age_months=23 (+0.040); pct_term_elapsed=0.06388888888888888 (+0.038)
LN107318,2024-10,0.5764,0,1.0,is_delinq_now=1 (+0.649); credit_score_band=<620 (+0.146); pct_term_elapsed=0.04722222222222222 (+0.064); interest_rate=7.332 (+0.050); loan_age_months=17 (+0.046)
LN108002,2024-07,0.5764,0,1.0,is_delinq_now=1 (+0.830); credit_score_band=620-679 (+0.103); loan_purpose=CASHOUT_REFI (-0.079); pct_term_elapsed=0.06944444444444445 (+0.069); loan_age_months=25 (+0.046)
LN108003,2024-09,0.7692,0,1.0,is_delinq_now=1 (+0.992); credit_score_band=780+ (-0.311); pct_term_elapsed=0.06666666666666667 (+0.122); state=CA (+0.096); dti_band=35-43 (+0.088)
