loan_id,reporting_month,anomaly_score,exception_required_prob,exception_type_pred,rules_fired,trust_score,n_conflicts,iso_percentile
LN100002,2024-01,0.03193,0.0005,NONE,,1.0,0.0,0.2116
LN100002,2024-02,0.03205,0.00049,NONE,,1.0,0.0,0.2124
LN100002,2024-03,0.02747,0.00049,NONE,,1.0,0.0,0.1818
LN100002,2024-04,0.02533,0.00052,NONE,,1.0,0.0,0.1675
LN100002,2024-05,0.51298,0.99851,SOURCE_CONFLICT,,0.5,1.0,0.1572
LN100002,2024-06,0.16634,0.14175,NONE,R007,0.88,0.0,0.1309
LN100002,2024-07,0.01948,0.00053,NONE,,1.0,0.0,0.1285
LN100002,2024-08,0.0255,0.00062,NONE,,1.0,0.0,0.1683
LN100002,2024-09,0.03373,0.00059,NONE,,1.0,0.0,0.2233
LN100002,2024-10,0.03773,0.00093,NONE,,1.0,0.0,0.249
LN100002,2024-11,0.04227,0.00071,NONE,,1.0,0.0,0.2799
LN100002,2024-12,0.05058,0.00068,NONE,,1.0,0.0,0.3354
LN100002,2025-01,0.06106,0.0005,NONE,,1.0,0.0,0.4057
LN100002,2025-02,0.06678,0.0005,NONE,,1.0,0.0,0.4439
LN100002,2025-03,0.07587,0.00041,NONE,,1.0,0.0,0.5047
LN100002,2025-04,0.08167,0.0005,NONE,,1.0,0.0,0.5431
LN100002,2025-05,0.08841,0.00041,NONE,,1.0,0.0,0.5883
LN100002,2025-06,0.0923,0.00071,NONE,,1.0,0.0,0.6134
LN100003,2023-01,0.08346,0.0007,NONE,,1.0,0.0,0.5546
LN100003,2023-02,0.05732,0.00069,NONE,,1.0,0.0,0.3803
LN100003,2023-03,0.03693,0.00076,NONE,,1.0,0.0,0.2442
LN100003,2023-04,0.02522,0.00071,NONE,,1.0,0.0,0.1662
LN100003,2023-05,0.02342,0.00068,NONE,,1.0,0.0,0.1543
LN100003,2023-06,0.01976,0.00057,NONE,,1.0,0.0,0.1302
LN100003,2023-07,0.01591,0.00057,NONE,,1.0,0.0,0.1045
LN100003,2023-08,0.01744,0.00096,NONE,,1.0,0.0,0.1137
LN100003,2023-09,0.01516,0.00055,NONE,,1.0,0.0,0.0996
LN100003,2023-10,0.01342,0.00055,NONE,,1.0,0.0,0.088
LN100003,2023-11,0.01923,0.00064,NONE,,1.0,0.0,0.1265
LN100003,2023-12,0.02766,0.00064,NONE,,1.0,0.0,0.1827
LN100003,2024-01,0.03307,0.00063,NONE,,1.0,0.0,0.2188
LN100003,2024-02,0.03637,0.00063,NONE,,1.0,0.0,0.2408
LN100003,2024-03,0.53221,0.99851,STALE_UPDATE,R006,0.7806,0.0,0.2854
LN100003,2024-04,0.16784,0.07314,NONE,R007,0.88,0.0,0.3239
LN100003,2024-05,0.05516,0.0005,NONE,,1.0,0.0,0.3664
LN100003,2024-06,0.06631,0.0005,NONE,,1.0,0.0,0.4407
LN100003,2024-07,0.07136,0.00049,NONE,,1.0,0.0,0.4744
LN100003,2024-08,0.19814,0.07928,NONE,R007,0.88,0.0,0.5095
LN100003,2024-09,0.08191,0.00049,NONE,,1.0,0.0,0.5447
LN100003,2024-10,0.08432,0.00055,NONE,,1.0,0.0,0.5607
LN100003,2024-11,0.15031,0.02252,NONE,,1.0,0.0,0.942
LN100004,2023-01,0.11389,0.00071,NONE,,1.0,0.0,0.7574
LN100004,2023-02,0.10038,0.00045,NONE,,1.0,0.0,0.668
LN100004,2023-03,0.58011,0.99851,SOURCE_CONFLICT,,0.65,1.0,0.6047
LN100004,2023-04,0.07913,0.00058,NONE,,1.0,0.0,0.526
LN100004,2023-05,0.06797,0.00046,NONE,,1.0,0.0,0.4519
LN100004,2023-06,0.06771,0.00046,NONE,,1.0,0.0,0.4501
LN100004,2023-07,0.06845,0.00045,NONE,,1.0,0.0,0.4551
LN100004,2023-08,0.06733,0.00065,NONE,,1.0,0.0,0.4471
LN100004,2023-09,0.07083,0.00047,NONE,,1.0,0.0,0.471
LN100004,2023-10,0.07039,0.0005,NONE,,1.0,0.0,0.4679
LN100004,2023-11,0.11917,0.00058,NONE,,1.0,0.0,0.7929
LN100004,2023-12,0.07612,0.00057,NONE,,1.0,0.0,0.506
LN100004,2024-01,0.08182,0.00058,NONE,,1.0,0.0,0.5439
LN100004,2024-02,0.57632,0.99851,STALE_UPDATE,R006,0.779,0.0,0.5794
LN100004,2024-03,0.09185,0.00058,NONE,,1.0,0.0,0.6108
LN100004,2024-04,0.09731,0.0008,NONE,,1.0,0.0,0.6466
LN100004,2024-05,0.1004,0.00066,NONE,,1.0,0.0,0.6676
LN100004,2024-06,0.10614,0.00075,NONE,,1.0,0.0,0.7056
LN100004,2024-07,0.10832,0.00055,NONE,,1.0,0.0,0.7207
LN100004,2024-08,0.11019,0.00059,NONE,,1.0,0.0,0.733
LN100004,2024-09,0.2321,0.07322,NONE,R007,0.88,0.0,0.7521
LN100004,2024-10,0.11412,0.00062,NONE,,1.0,0.0,0.7592
LN100004,2024-11,0.11625,0.00103,NONE,,1.0,0.0,0.7723
LN100004,2024-12,0.23511,0.06375,NONE,R007,0.88,0.0,0.7974
LN100004,2025-01,0.12464,0.00196,NONE,,1.0,0.0,0.8257
LN100004,2025-02,0.12576,0.0016,NONE,,1.0,0.0,0.8341
LN100004,2025-03,0.1291,0.00268,NONE,,1.0,0.0,0.8536
LN100004,2025-04,0.13112,0.00202,NONE,,1.0,0.0,0.8688
LN100004,2025-05,0.1329,0.00063,NONE,,1.0,0.0,0.8843
LN100004,2025-06,0.13414,0.00063,NONE,,1.0,0.0,0.8926
LN100005,2024-07,0.11019,0.00052,NONE,,1.0,0.0,0.7333
LN100005,2024-08,0.09968,0.0005,NONE,,1.0,0.0,0.6632
LN100005,2024-09,0.09427,0.0005,NONE,,1.0,0.0,0.6271
LN100005,2024-10,0.08731,0.00056,NONE,,1.0,0.0,0.5806
LN100005,2024-11,0.08455,0.00057,NONE,,1.0,0.0,0.5622
LN100005,2024-12,0.0881,0.00057,NONE,,1.0,0.0,0.5858
LN100005,2025-01,0.09026,0.00057,NONE,,1.0,0.0,0.6002
LN100005,2025-02,0.18659,0.01359,NONE,R007,0.88,0.0,0.6077
LN100005,2025-03,0.09362,0.00057,NONE,,1.0,0.0,0.6226
LN100005,2025-04,0.09659,0.00059,NONE,,1.0,0.0,0.6423
LN100005,2025-05,0.10005,0.00069,NONE,,1.0,0.0,0.6651
LN100005,2025-06,0.10434,0.00068,NONE,,1.0,0.0,0.6938
LN100006,2021-10,0.10159,0.00094,NONE,,1.0,0.0,0.6748
LN100006,2021-11,0.08803,0.00063,NONE,,1.0,0.0,0.5852
LN100006,2021-12,0.07758,0.00053,NONE,,1.0,0.0,0.5158
LN100006,2022-01,0.06534,0.00055,NONE,,1.0,0.0,0.4341
LN100006,2022-02,0.05691,0.00055,NONE,,1.0,0.0,0.3779
LN100006,2022-03,0.04728,0.0005,NONE,,1.0,0.0,0.3138
LN100006,2022-04,0.04167,0.00059,NONE,,1.0,0.0,0.2762
LN100006,2022-05,0.04246,0.00061,NONE,,1.0,0.0,0.2815
LN100006,2022-06,0.03384,0.00064,NONE,,1.0,0.0,0.2239
LN100006,2022-07,0.02442,0.00056,NONE,,1.0,0.0,0.1613
LN100006,2022-08,0.02813,0.00081,NONE,,1.0,0.0,0.1854
LN100006,2022-09,0.03264,0.00128,NONE,,1.0,0.0,0.2142
LN100006,2022-10,0.03094,0.00109,NONE,,1.0,0.0,0.2034
LN100006,2022-11,0.03953,0.00115,NONE,,1.0,0.0,0.2605
LN100006,2022-12,0.0343,0.00123,NONE,,1.0,0.0,0.2253
LN100006,2023-01,0.04231,0.00117,NONE,,1.0,0.0,0.2789
LN100006,2023-02,0.04183,0.0008,NONE,,1.0,0.0,0.2768
LN100006,2023-03,0.19167,0.13198,NONE,R007,0.88,0.0,0.3259
LN100006,2023-04,0.04867,0.00695,NONE,,1.0,0.0,0.3059
LN100006,2023-05,0.05465,0.00168,NONE,,1.0,0.0,0.3599
LN100006,2023-06,0.54702,0.99851,SOURCE_CONFLICT,,0.65,1.0,0.3841
LN100006,2023-07,0.6254,0.99851,BALANCE_MISMATCH,R001,0.64,0.0,0.9067
LN100006,2023-08,0.23949,0.20835,NONE,R007,0.88,0.0,0.441
LN100006,2023-09,0.07,0.00057,NONE,,1.0,0.0,0.4652
LN100006,2023-10,0.07187,0.00218,NONE,,1.0,0.0,0.4733
LN100006,2023-11,0.074,0.00047,NONE,,1.0,0.0,0.4921
LN100006,2023-12,0.07969,0.00036,NONE,,1.0,0.0,0.5303
LN100006,2024-01,0.08706,0.00036,NONE,,1.0,0.0,0.5794
LN100006,2024-02,0.09349,0.00059,NONE,,1.0,0.0,0.6217
LN100006,2024-03,0.09999,0.00024,NONE,,1.0,0.0,0.6659
LN100006,2024-04,0.1084,0.00027,NONE,,1.0,0.0,0.7219
LN100006,2024-05,0.1158,0.00024,NONE,,1.0,0.0,0.7714
LN100006,2024-06,0.62196,0.99851,BALANCE_MISMATCH,R002,0.76,0.0,0.8837
LN100006,2024-07,0.12904,0.00023,NONE,,1.0,0.0,0.8596
LN100006,2024-08,0.1316,0.00023,NONE,,1.0,0.0,0.8767
LN100006,2024-09,0.1328,0.00023,NONE,,1.0,0.0,0.8847
LN100006,2024-10,0.6239,0.99851,DATE_INVALID,R006,0.73,0.0,0.8967
LN100006,2024-11,0.13612,0.00023,NONE,,1.0,0.0,0.9069
LN100006,2024-12,0.13726,0.00023,NONE,,1.0,0.0,0.9144
LN100006,2025-01,0.13827,0.00023,NONE,,1.0,0.0,0.9212
LN100006,2025-02,0.1389,0.00023,NONE,,1.0,0.0,0.9254
LN100006,2025-03,0.13931,0.00023,NONE,,1.0,0.0,0.9281
LN100006,2025-04,0.14047,0.00023,NONE,,1.0,0.0,0.9359
LN100006,2025-05,0.14094,0.00023,NONE,,1.0,0.0,0.939
LN100006,2025-06,0.14133,0.00023,NONE,,1.0,0.0,0.9416
LN100007,2023-12,0.11508,0.0004,NONE,,1.0,0.0,0.7661
LN100007,2024-01,0.1028,0.00042,NONE,,1.0,0.0,0.6842
LN100007,2024-02,0.63399,0.99851,STATUS_INCONSISTENT,R004,0.64,0.0,0.9639
LN100007,2024-03,0.09028,0.0007,NONE,,1.0,0.0,0.6
LN100007,2024-04,0.0876,0.00042,NONE,,1.0,0.0,0.5829
LN100007,2024-05,0.08904,0.00043,NONE,,1.0,0.0,0.5924
LN100007,2024-06,0.09014,0.00043,NONE,,1.0,0.0,0.5998
LN100007,2024-07,0.09187,0.00043,NONE,,1.0,0.0,0.6113
LN100007,2024-08,0.09444,0.00043,NONE,,1.0,0.0,0.6285
LN100007,2024-09,0.09799,0.00045,NONE,,1.0,0.0,0.6521
LN100007,2024-10,0.09888,0.00056,NONE,,1.0,0.0,0.6577
LN100007,2024-11,0.10207,0.00056,NONE,,1.0,0.0,0.679
LN100007,2024-12,0.1038,0.00055,NONE,,1.0,0.0,0.6905
LN100007,2025-01,0.10776,0.00057,NONE,,1.0,0.0,0.7169
LN100007,2025-02,0.11171,0.00055,NONE,,1.0,0.0,0.7433
LN100007,2025-03,0.11445,0.00044,NONE,,1.0,0.0,0.7618
LN100007,2025-04,0.11674,0.00045,NONE,,1.0,0.0,0.7771
LN100007,2025-05,0.12141,0.00048,NONE,,1.0,0.0,0.8081
LN100007,2025-06,0.12253,0.00043,NONE,,1.0,0.0,0.8157
LN100008,2022-03,0.09989,0.00052,NONE,,1.0,0.0,0.6645
LN100008,2022-04,0.08469,0.0008,NONE,,1.0,0.0,0.5625
LN100008,2022-05,0.26271,0.25458,DOC_GAP,R007,0.88,0.0,0.4725
LN100008,2022-06,0.05812,0.00056,NONE,,1.0,0.0,0.386
LN100008,2022-07,0.05624,0.00056,NONE,,1.0,0.0,0.3734
LN100008,2022-08,0.5379,0.98832,SOURCE_CONFLICT,,0.9,1.0,0.3505
LN100008,2022-09,0.04842,0.00058,NONE,,1.0,0.0,0.3213
LN100008,2022-10,0.05378,0.00055,NONE,,1.0,0.0,0.3571
LN100008,2022-11,0.04379,0.00056,NONE,,1.0,0.0,0.2905
LN100008,2022-12,0.04188,0.00067,NONE,,1.0,0.0,0.2774
LN100008,2023-01,0.04966,0.0009,NONE,,1.0,0.0,0.3287
LN100008,2023-02,0.05649,0.00126,NONE,,1.0,0.0,0.3733
LN100008,2023-03,0.05682,0.00054,NONE,,1.0,0.0,0.3774
LN100008,2023-04,0.06247,0.00118,NONE,,1.0,0.0,0.4133
LN100008,2023-05,0.06116,0.00091,NONE,,1.0,0.0,0.4053
LN100008,2023-06,0.07236,0.00084,NONE,,1.0,0.0,0.4802
LN100008,2023-07,0.07304,0.00088,NONE,,1.0,0.0,0.4846
LN100008,2023-08,0.07376,0.00082,NONE,,1.0,0.0,0.4896
LN100008,2023-09,0.65299,0.99851,DOC_GAP,R007,0.38,1.0,0.4906
LN100008,2023-10,0.08357,0.0014,NONE,,1.0,0.0,0.5534
LN100008,2023-11,0.09175,0.00164,NONE,,1.0,0.0,0.6073
LN100008,2023-12,0.20007,0.02779,NONE,R007,0.88,0.0,0.6597
LN100008,2024-01,0.10535,0.00085,NONE,,1.0,0.0,0.7001
LN100008,2024-02,0.11022,0.0007,NONE,,1.0,0.0,0.7329
LN100008,2024-03,0.1142,0.00354,NONE,,1.0,0.0,0.7519
LN100008,2024-04,0.11731,0.00028,NONE,,1.0,0.0,0.7813
LN100008,2024-05,0.21968,0.01372,NONE,R007,0.88,0.0,0.8279
LN100008,2024-06,0.12863,0.00046,NONE,,1.0,0.0,0.8563
LN100008,2024-07,0.13197,0.00025,NONE,,1.0,0.0,0.8791
LN100008,2024-08,0.14452,0.00028,NONE,,1.0,0.0,0.9627
LN100008,2024-09,0.14399,0.00025,NONE,,1.0,0.0,0.9593
LN100008,2024-10,0.63522,0.99851,SOURCE_CONFLICT,,0.65,1.0,0.9721
LN100008,2024-11,0.14778,0.00023,NONE,,1.0,0.0,0.9846
LN100008,2024-12,0.14825,0.00023,NONE,,1.0,0.0,0.9877
LN100008,2025-01,0.14988,0.00023,NONE,,1.0,0.0,0.9986
LN100008,2025-02,0.14997,0.00023,NONE,,1.0,0.0,0.9992
LN100008,2025-03,0.14999,0.00023,NONE,,1.0,0.0,0.9993
LN100008,2025-04,0.15003,0.00024,NONE,,1.0,0.0,0.9996
LN100008,2025-05,0.15008,0.00056,NONE,,1.0,0.0,0.9991
LN100008,2025-06,0.15062,0.00161,NONE,,1.0,0.0,0.9998
LN100009,2021-10,0.09462,0.00243,NONE,,1.0,0.0,0.6243
LN100009,2021-11,0.07989,0.00075,NONE,,1.0,0.0,0.5306
LN100009,2021-12,0.16712,0.02095,NONE,R007,0.88,0.0,0.4583
LN100009,2022-01,0.05336,0.00103,NONE,,1.0,0.0,0.353
LN100009,2022-02,0.14599,0.02758,NONE,R007,0.88,0.0,0.2997
LN100009,2022-03,0.04079,0.00076,NONE,,1.0,0.0,0.2699
LN100009,2022-04,0.03233,0.00107,NONE,,1.0,0.0,0.2127
LN100009,2022-05,0.02893,0.00072,NONE,,1.0,0.0,0.191
LN100009,2022-06,0.01926,0.00064,NONE,,1.0,0.0,0.1267
LN100009,2022-07,0.00952,0.00064,NONE,,1.0,0.0,0.0618
LN100009,2022-08,0.01285,0.00124,NONE,,1.0,0.0,0.0824
LN100009,2022-09,0.50563,0.99851,SOURCE_CONFLICT,,0.75,1.0,0.1082
LN100009,2022-10,0.01327,0.00061,NONE,,1.0,0.0,0.0868
LN100009,2022-11,0.01645,0.00063,NONE,,1.0,0.0,0.108
LN100009,2022-12,0.01722,0.00063,NONE,,1.0,0.0,0.1131
LN100009,2023-01,0.02324,0.0006,NONE,,1.0,0.0,0.1533
LN100009,2023-02,0.02721,0.0006,NONE,,1.0,0.0,0.1798
LN100009,2023-03,0.03272,0.00074,NONE,,1.0,0.0,0.2162
LN100009,2023-04,0.03647,0.00148,NONE,,1.0,0.0,0.2392
LN100009,2023-05,0.03703,0.00192,NONE,,1.0,0.0,0.2418
LN100009,2023-06,0.0431,0.00633,NONE,,1.0,0.0,0.2705
LN100009,2023-07,0.04553,0.00126,NONE,,1.0,0.0,0.3002
LN100009,2023-08,0.0446,0.00059,NONE,,1.0,0.0,0.2958
LN100009,2023-09,0.05362,0.00059,NONE,,1.0,0.0,0.3559
LN100009,2023-10,0.05884,0.00055,NONE,,1.0,0.0,0.3908
LN100009,2023-11,0.06025,0.00053,NONE,,1.0,0.0,0.4002
LN100009,2023-12,0.17544,0.04663,NONE,R007,0.88,0.0,0.4453
LN100009,2024-01,0.07472,0.00037,NONE,,1.0,0.0,0.4971
LN100009,2024-02,0.18644,0.02848,NONE,R007,0.88,0.0,0.567
LN100009,2024-03,0.09295,0.00033,NONE,,1.0,0.0,0.6188
LN100009,2024-04,0.1,0.00034,NONE,,1.0,0.0,0.6658
LN100009,2024-05,0.10838,0.00033,NONE,,1.0,0.0,0.7217
LN100009,2024-06,0.1147,0.00032,NONE,,1.0,0.0,0.7638
LN100009,2024-07,0.13746,0.00051,NONE,,1.0,0.0,0.915
LN100009,2024-08,0.1254,0.00024,NONE,,1.0,0.0,0.8354
LN100009,2024-09,0.6167,0.99851,SOURCE_CONFLICT,,0.65,1.0,0.8487
LN100009,2024-10,0.12791,0.00024,NONE,,1.0,0.0,0.8521
LN100009,2024-11,0.12923,0.00024,NONE,,1.0,0.0,0.8609
LN100009,2024-12,0.13252,0.00032,NONE,,1.0,0.0,0.8826
LN100009,2025-01,0.1336,0.00032,NONE,,1.0,0.0,0.8898
LN100009,2025-02,0.13442,0.00031,NONE,,1.0,0.0,0.8953
LN100009,2025-03,0.13548,0.00032,NONE,,1.0,0.0,0.9024
LN100009,2025-04,0.62621,0.99851,SOURCE_CONFLICT,,0.65,1.0,0.9121
LN100009,2025-05,0.13803,0.00031,NONE,,1.0,0.0,0.9194
LN100009,2025-06,0.13897,0.00037,NONE,,1.0,0.0,0.9255
LN100010,2023-05,0.07753,0.00056,NONE,,1.0,0.0,0.5154
LN100010,2023-06,0.05486,0.00065,NONE,,1.0,0.0,0.364
LN100010,2023-07,0.04204,0.00061,NONE,,1.0,0.0,0.2786
LN100010,2023-08,0.03086,0.00098,NONE,,1.0,0.0,0.2031
LN100010,2023-09,0.03105,0.00063,NONE,,1.0,0.0,0.2053
LN100010,2023-10,0.02171,0.0005,NONE,,1.0,0.0,0.1434
LN100010,2023-11,0.20159,0.23625,DOC_GAP,R007,0.88,0.0,0.114
LN100010,2023-12,0.01929,0.0006,NONE,,1.0,0.0,0.127
LN100010,2024-01,0.01481,0.00051,NONE,,1.0,0.0,0.0974
LN100010,2024-02,0.71309,0.99851,STATUS_INCONSISTENT,"R004,R007",0.52,0.0,0.8912
LN100010,2024-03,0.01968,0.00086,NONE,,1.0,0.0,0.1289
LN100010,2024-04,0.18209,0.15659,NONE,R007,0.88,0.0,0.1964
LN100010,2024-05,0.03472,0.00084,NONE,,1.0,0.0,0.2293
LN100010,2024-06,0.53188,0.99851,DUPLICATE_RECORD,R008,0.64,0.0,0.2832
LN100010,2024-07,0.05012,0.0006,NONE,,1.0,0.0,0.3325
LN100010,2024-08,0.05789,0.00046,NONE,,1.0,0.0,0.3847
LN100010,2024-09,0.06371,0.00045,NONE,,1.0,0.0,0.4235
LN100010,2024-10,0.0733,0.00044,NONE,,1.0,0.0,0.4875
LN100010,2024-11,0.07851,0.00045,NONE,,1.0,0.0,0.5222
LN100010,2024-12,0.08543,0.00044,NONE,,1.0,0.0,0.5684
LN100010,2025-01,0.09117,0.00049,NONE,,1.0,0.0,0.6065
LN100010,2025-02,0.58134,0.99851,SOURCE_CONFLICT,,0.5,1.0,0.6129
LN100010,2025-03,0.09904,0.00128,NONE,,1.0,0.0,0.6568
LN100010,2025-04,0.11266,0.01528,NONE,,1.0,0.0,0.7103
LN100010,2025-05,0.11141,0.00417,NONE,,1.0,0.0,0.7317
LN100010,2025-06,0.1121,0.00305,NONE,,1.0,0.0,0.7392
LN100011,2024-11,0.09521,0.00044,NONE,,1.0,0.0,0.6336
LN100011,2024-12,0.07508,0.00046,NONE,,1.0,0.0,0.4993
LN100011,2025-01,0.06743,0.00046,NONE,,1.0,0.0,0.4483
LN100011,2025-02,0.05655,0.00067,NONE,,1.0,0.0,0.3752
LN100011,2025-03,0.05091,0.00056,NONE,,1.0,0.0,0.3379
LN100011,2025-04,0.05113,0.00076,NONE,,1.0,0.0,0.3388
LN100011,2025-05,0.71204,0.99851,BALANCE_MISMATCH,"R001,R007",0.52,0.0,0.8843
LN100011,2025-06,0.53248,0.99851,SOURCE_CONFLICT,,0.65,1.0,0.2872
LN100012,2024-01,0.08487,0.00071,NONE,,1.0,0.0,0.5639
LN100012,2024-02,0.0671,0.00073,NONE,,1.0,0.0,0.4454
LN100012,2024-03,0.54378,0.99851,SOURCE_CONFLICT,,0.6,1.0,0.3625
LN100012,2024-04,0.0422,0.00055,NONE,,1.0,0.0,0.2799
LN100012,2024-05,0.04092,0.00059,NONE,,1.0,0.0,0.2712
LN100012,2024-06,0.04029,0.00059,NONE,,1.0,0.0,0.267
LN100012,2024-07,0.03991,0.00059,NONE,,1.0,0.0,0.2645
LN100012,2024-08,0.03707,0.00059,NONE,,1.0,0.0,0.2456
LN100012,2024-09,0.03633,0.00061,NONE,,1.0,0.0,0.2406
LN100012,2024-10,0.03186,0.00061,NONE,,1.0,0.0,0.2108
LN100012,2024-11,0.03628,0.00071,NONE,,1.0,0.0,0.24
LN100012,2024-12,0.04986,0.00066,NONE,,1.0,0.0,0.3306
LN100012,2025-01,0.05579,0.00067,NONE,,1.0,0.0,0.3702
LN100012,2025-02,0.06155,0.00071,NONE,,1.0,0.0,0.4085
LN100012,2025-03,0.07088,0.00118,NONE,,1.0,0.0,0.4694
LN100012,2025-04,0.07642,0.00156,NONE,,1.0,0.0,0.5053
LN100012,2025-05,0.08283,0.00081,NONE,,1.0,0.0,0.55
LN100012,2025-06,0.09199,0.00081,NONE,,1.0,0.0,0.6111
LN100013,2024-02,0.1324,0.00069,NONE,,1.0,0.0,0.8809
LN100013,2024-03,0.12319,0.00061,NONE,,1.0,0.0,0.8196
LN100013,2024-04,0.11658,0.00052,NONE,,1.0,0.0,0.7758
LN100013,2024-05,0.11447,0.00147,NONE,,1.0,0.0,0.7592
LN100013,2024-06,0.11194,0.00102,NONE,,1.0,0.0,0.7436
LN100013,2024-07,0.11389,0.00049,NONE,,1.0,0.0,0.7579
LN100013,2024-08,0.11634,0.00105,NONE,,1.0,0.0,0.7728
LN100013,2024-09,0.11582,0.00105,NONE,,1.0,0.0,0.7693
LN100013,2024-10,0.11821,0.00108,NONE,,1.0,0.0,0.7852
LN100013,2024-11,0.11589,0.00108,NONE,,1.0,0.0,0.7698
LN100013,2024-12,0.11884,0.00141,NONE,,1.0,0.0,0.7885
LN100013,2025-01,0.1199,0.00141,NONE,,1.0,0.0,0.7956
LN100013,2025-02,0.12181,0.00112,NONE,,1.0,0.0,0.8091
LN100013,2025-03,0.12266,0.00141,NONE,,1.0,0.0,0.814
LN100013,2025-04,0.12561,0.00141,NONE,,1.0,0.0,0.8336
LN100013,2025-05,0.12796,0.0014,NONE,,1.0,0.0,0.8493
LN100013,2025-06,0.12962,0.00111,NONE,,1.0,0.0,0.8612
LN100014,2024-01,0.62389,0.99851,SOURCE_CONFLICT,,0.65,1.0,0.8966
LN100014,2024-02,0.12945,0.0006,NONE,,1.0,0.0,0.8614
LN100014,2024-03,0.12477,0.00054,NONE,,1.0,0.0,0.8304
LN100014,2024-04,0.12058,0.00054,NONE,,1.0,0.0,0.8024
